,Brand,Category,Sub_Category
1949,Vans Chima Pro 2,Clothes,Shoes
1950,New Balance 880v11,Clothes,Shoes
1951,Adidas Terrex Two Ultra Parley,Clothes,Shoes
1952,Nike Mercurial Vapor 14 Elite FG,Clothes,Shoes
1953,Reebok Club C Revenge,Clothes,Shoes
1954,Puma RS-2K Internet Exploring,Clothes,Shoes
1955,Asics Gel-Pulse 13,Clothes,Shoes
1956,Saucony Endorphin Speed 2,Clothes,Shoes
1957,Fila T-1 Mid,Clothes,Shoes
1958,Adidas X90004D,Clothes,Shoes
1959,Timberland Courmayeur Valley Chelsea Boot,Clothes,Shoes
1960,Birkenstock Yao,Clothes,Shoes
1961,Doc Martens 1461 Vegan,Clothes,Shoes
1962,Brooks Ariel 20,Clothes,Shoes
1963,Nike Air Force 1 React,Clothes,Shoes
1964,Converse Chuck Taylor All Star Leather High Top,Clothes,Shoes
1965,Vans Classic Slip-On,Clothes,Shoes
1966,New Balance FuelCell Rebel v2,Clothes,Shoes
1967,Adidas Questar Flow,Clothes,Shoes
1968,Nike Phantom Venom Academy FG,Clothes,Shoes
1969,Reebok Nano 9,Clothes,Shoes
1970,Puma Future Z 1.1 FG/AG,Clothes,Shoes
1971,Asics Gel-Kayano Lite,Clothes,Shoes
1972,Saucony Liberty ISO 2,Clothes,Shoes
1973,Fila Ray Tracer,Clothes,Shoes
1974,Adidas 4D Run 1.0,Clothes,Shoes
1975,Timberland Jayne 6-Inch Waterproof Boot,Clothes,Shoes
1976,Birkenstock Yao Balance,Clothes,Shoes
1977,Doc Martens Adrian,Clothes,Shoes
1978,Brooks Cascadia 16,Clothes,Shoes
1979,Nike Zoom Rival Fly 3,Clothes,Shoes
1980,Converse CTAS Chuck 70,Clothes,Shoes
1981,Vans Classic Slip-On Platform,Clothes,Shoes
1982,New Balance Fresh Foam 1080v10,Clothes,Shoes
1983,Adidas Ultraboost PB,Clothes,Shoes
1984,Nike Legend Essential,Clothes,Shoes
1985,Reebok Floatride Energy 3,Clothes,Shoes
1986,Puma Future Rider Play On,Clothes,Shoes
1987,Asics Gel-Dedicate 6,Clothes,Shoes
1988,Saucony Kinvara 12,Clothes,Shoes
1989,Fila Mindbreaker 2.0,Clothes,Shoes
1990,Adidas Terrex AX3 GTX,Clothes,Shoes
1991,Timberland Radford Chukka Boot,Clothes,Shoes
1992,Birkenstock Yao Platform,Clothes,Shoes
1993,Doc Martens 1460 Vintage,Clothes,Shoes
1994,Brooks Launch GTS 8,Clothes,Shoes
1995,Nike Zoom Fly 3,Clothes,Shoes
1996,Converse Chuck 70 HI Renew,Clothes,Shoes
1997,Vans Era ComfyCush,Clothes,Shoes
1998,New Balance Fresh Foam Hierro v6,Clothes,Shoes
1999,Adidas ZX 2K Flux,Clothes,Shoes
2000,Nike Air Max 270 React,Clothes,Shoes
2001,Reebok Classic Leather Legacy,Clothes,Shoes
2002,Puma Basket Classic LFS,Clothes,Shoes
2003,Asics Gel-Quantum 180 6,Clothes,Shoes
2004,Saucony Hurricane 23,Clothes,Shoes
2005,Fila Trailblazer Wedge,Clothes,Shoes
2006,Adidas Terrex Free Hiker,Clothes,Shoes
2007,Timberland 6-Inch Shearling Boot,Clothes,Shoes
2008,Birkenstock Yao Balance Platform,Clothes,Shoes
2009,Doc Martens 1460 Serena,Clothes,Shoes
2010,Forever 21,Clothes,Clothes
2011,H&M,Clothes,Clothes
2012,Zara,Clothes,Clothes
2013,American Eagle Outfitters,Clothes,Clothes
2014,Urban Outfitters,Clothes,Clothes
2015,Abercrombie & Fitch,Clothes,Clothes
2016,Hollister Co.,Clothes,Clothes
2017,J.Crew,Clothes,Clothes
2018,Madewell,Clothes,Clothes
2019,Anthropologie,Clothes,Clothes
2020,Free People,Clothes,Clothes
2021,Aritzia,Clothes,Clothes
2022,Topshop,Clothes,Clothes
2023,Uniqlo,Clothes,Clothes
2024,Express,Clothes,Clothes
2025,ASOS,Clothes,Clothes
2026,PacSun,Clothes,Clothes
2027,Charlotte Russe,Clothes,Clothes
2028,Rue21,Clothes,Clothes
2029,Windsor,Clothes,Clothes
2030,Cotton On,Clothes,Clothes
2031,Fashion Nova,Clothes,Clothes
2032,Lulus,Clothes,Clothes
2033,Boohoo,Clothes,Clothes
2034,Missguided,Clothes,Clothes
2035,Nasty Gal,Clothes,Clothes
2036,PrettyLittleThing,Clothes,Clothes
2037,Revolve,Clothes,Clothes
2038,Shein,Clothes,Clothes
2039,Tobi,Clothes,Clothes
2040,Princess Polly,Clothes,Clothes
2041,Showpo,Clothes,Clothes
2042,Verge Girl,Clothes,Clothes
2043,Beginning Boutique,Clothes,Clothes
2044,Tiger Mist,Clothes,Clothes
2045,Sabo Skirt,Clothes,Clothes
2046,Faithfull the Brand,Clothes,Clothes
2047,For Love & Lemons,Clothes,Clothes
2048,Reformation,Clothes,Clothes
2049,Ganni,Clothes,Clothes
2050,Rixo,Clothes,Clothes
2051,Aje,Clothes,Clothes
2052,SIR the Label,Clothes,Clothes
2053,Siriano,Clothes,Clothes
2054,Zimmerman,Clothes,Clothes
2055,Faithfull,Clothes,Clothes
2056,Tiffany & Co. Return to Tiffany Heart Tag Charm Bracelet,Clothes,Jewelry
2057,Pandora Moments Charm Bracelet,Clothes,Jewelry
2058,Alex and Ani Initial Bracelet,Clothes,Jewelry
2059,David Yurman Cable Classics Bracelet with Gold,Clothes,Jewelry
2060,Cartier Love Bracelet,Clothes,Jewelry
2061,Swarovski Crystal Tennis Bracelet,Clothes,Jewelry
2062,Kendra Scott Elaina Birthstone Bracelet,Clothes,Jewelry
2063,Bony Levy Stackable Diamond Ring,Clothes,Jewelry
2064,Monica Vinader Fiji Diamond Friendship Bracelet,Clothes,Jewelry
2065,Lagos Caviar Bracelet,Clothes,Jewelry
2066,Kate Spade New York Sailor's Knot Stud Earrings,Clothes,Jewelry
2067,Mikimoto Akoya Cultured Pearl Necklace,Clothes,Jewelry
2068,BaubleBar Gabriela Tassel Fringe Earrings,Clothes,Jewelry
2069,Kendra Scott Rayne Necklace,Clothes,Jewelry
2070,Gorjana Taner Bar Necklace,Clothes,Jewelry
2071,Kendra Scott Elisa Pendant Necklace,Clothes,Jewelry
2072,LAGOS Signature Caviar Hoop Earrings,Clothes,Jewelry
2073,LAGOS Black Caviar Diamond Bracelet,Clothes,Jewelry
2074,Tiffany & Co. T Wire Bracelet,Clothes,Jewelry
2075,Mejuri Lotus Necklace,Clothes,Jewelry
2076,Kate Spade New York One in a Million Pendant Necklace,Clothes,Jewelry
2077,David Yurman Cable Classics Bracelet with Diamonds,Clothes,Jewelry
2078,Kate Spade New York Idiom Bangle,Clothes,Jewelry
2079,Swarovski Crystal Pearl Drop Earrings,Clothes,Jewelry
2080,Kendra Scott Aragon Drop Earrings,Clothes,Jewelry
2081,Pandora Rose Sparkling Strand Bracelet,Clothes,Jewelry
2082,John Hardy Classic Chain Bracelet,Clothes,Jewelry
2083,BaubleBar Mini Alidia Ring,Clothes,Jewelry
2084,Mejuri Croissant D�me Ring,Clothes,Jewelry
2085,Bony Levy Diamond Stud Earrings,Clothes,Jewelry
2086,Anna Beck Reversible Disc Pendant Necklace,Clothes,Jewelry
2087,Monica Vinader Siren Mini Stacking Ring,Clothes,Jewelry
2088,Catbird Sweet Nothing Choker,Clothes,Jewelry
2089,David Yurman Cable Collectibles Heart Bracelet,Clothes,Jewelry
2090,Kendra Scott Aiden Pendant Necklace,Clothes,Jewelry
2091,Lagos Caviar Diamond Stacking Ring,Clothes,Jewelry
2092,Sydney Evan 14k Gold Diamond Evil Eye Bracelet,Clothes,Jewelry
2093,Kendra Scott Sophia Drop Earrings,Clothes,Jewelry
2094,Pandora Sparkling Clear Bracelet,Clothes,Jewelry
2095,Swarovski Tennis Necklace and Earrings Set,Clothes,Jewelry
2096,BaubleBar Hera Pearl Hoop Earrings,Clothes,Jewelry
2097,Alexis Bittar Liquid Gold Small Hoop Earrings,Clothes,Jewelry
2098,LAGOS Sterling Silver Diamond Bracelet,Clothes,Jewelry
2099,Monica Vinader Alta Capture Charm Bracelet,Clothes,Jewelry
2100,David Yurman Stax Bracelet,Clothes,Jewelry
2101,Kendra Scott Ellie Stud Earrings,Clothes,Jewelry
2102,Jennifer Zeuner Small Hoop Earrings,Clothes,Jewelry
2103,Bony Levy Diamond Tennis Bracelet,Clothes,Jewelry
2104,John Hardy Legends Naga Bracelet,Clothes,Jewelry
2105,Gorjana Chloe Small Stud Earrings,Clothes,Jewelry
2106,Lagos Diamond Caviar Stud Earrings,Clothes,Jewelry
2107,Tiffany & Co. Paloma Picasso Olive Leaf Earrings,Clothes,Jewelry
2108,Sydney Evan 14k Gold Diamond Love Necklace,Clothes,Jewelry
2109,Kendra Scott Sophee Drop Earrings,Clothes,Jewelry
2110,Alex and Ani Path of Life Bangle,Clothes,Jewelry
2111,BaubleBar Mini Alidia Bracelet,Clothes,Jewelry
2112,Monica Vinader Baja Precious Diamond Ring,Clothes,Jewelry
2113,David Yurman Cable Classics Bracelet with Amethyst and Gold,Clothes,Jewelry
2114,Swarovski Ginger Bangle Bracelet,Clothes,Jewelry
2115,Kate Spade New York Small Square Stud Earrings,Clothes,Jewelry
2116,Kendra Scott Edie Ring,Clothes,Jewelry
2117,LAGOS Diamond Caviar Earrings,Clothes,Jewelry
2118,LAGOS Sterling Silver Caviar Beaded Bracelet,Clothes,Jewelry
2119,Swarovski Crystal Angelic Necklace and Earring Set,Clothes,Jewelry
2120,Bony Levy Diamond Band Ring,Clothes,Jewelry
2121,John Hardy Classic Chain Lava Bracelet,Clothes,Jewelry
2122,Alexis Bittar Dewdrop Earrings,Clothes,Jewelry
2123,Jennifer Zeuner Mini Initial Necklace,Clothes,Jewelry
2124,Kendra Scott Kirsten Drop Earrings,Clothes,Jewelry
2125,Monica Vinader Linear Stone Bracelet,Clothes,Jewelry
2126,BaubleBar Mini Hera Huggie Hoop Earrings,Clothes,Jewelry
2127,Tiffany & Co. Elsa Peretti Bean Earrings,Clothes,Jewelry
2128,Alex and Ani Tree of Life Bangle,Clothes,Jewelry
2129,Kate Spade New York Heritage Spade Heart Stud Earrings,Clothes,Jewelry
2130,Kendra Scott Adelia Hoop Earrings,Clothes,Jewelry
2131,LAGOS Caviar Icon Stacking Ring,Clothes,Jewelry
2132,Swarovski Angelic Square Pendant Necklace,Clothes,Jewelry
2133,David Yurman Ch�telaine Earrings with Diamonds and Hampton Blue Topaz,Clothes,Jewelry
2134,BaubleBar Slim Huggie Hoop Earrings,Clothes,Jewelry
2135,Sydney Evan 14k Gold Diamond Cross Bracelet,Clothes,Jewelry
2136,Mejuri Boyfriend Hoops,Clothes,Jewelry
2137,Monica Vinader Alta Capture Charm Bracelet,Clothes,Jewelry
2138,Pandora Moments Snake Chain Bracelet,Clothes,Jewelry
2139,Bony Levy Diamond Stacking Ring,Clothes,Jewelry
2140,Kendra Scott Diane Drop Earrings,Clothes,Jewelry
2141,John Hardy Classic Chain Lava Bracelet,Clothes,Jewelry
2142,LAGOS Caviar Diamond Stacking Ring,Clothes,Jewelry
2143,Alexis Bittar Elements Crystal Stud Earrings,Clothes,Jewelry
2144,Gorjana Bali Layered Necklace,Clothes,Jewelry
2145,Kate Spade New York Small Square Leverback Earrings,Clothes,Jewelry
2146,Swarovski Crystal Stone Bangle Bracelet,Clothes,Jewelry
2147,Jennifer Zeuner Initial Pendant Necklace,Clothes,Jewelry
2148,David Yurman Cable Classics Bracelet with Blue Topaz and Gold,Clothes,Jewelry
2149,BaubleBar Tinsley Asymmetrical Crystal Earrings,Clothes,Jewelry
2150,Kendra Scott Phara Necklace,Clothes,Jewelry
2151,LAGOS Signature Caviar Diamond Bracelet,Clothes,Jewelry
2152,Swarovski Crystal Angelic Square Bracelet,Clothes,Jewelry
2153,Tiffany & Co. Elsa Peretti Open Heart Necklace,Clothes,Jewelry
2154,Sydney Evan 14k Gold Diamond Disc Bracelet,Clothes,Jewelry
2155,Monica Vinader Fiji Diamond Stud Earrings,Clothes,Jewelry
2156,Bony Levy Diamond Pav� Pendant Necklace,Clothes,Jewelry
2157,Pandora Moments Heart Clasp Snake Chain Bracelet,Clothes,Jewelry
2158,John Hardy Classic Chain Bracelet with Black Sapphire,Clothes,Jewelry
2159,Gorjana Tanner Stud Earrings,Clothes,Jewelry
2160,Kendra Scott Elaina Chain Bracelet,Clothes,Jewelry
2161,LAGOS Black Caviar Hoop Earrings,Clothes,Jewelry
2162,Swarovski Attract Trilogy Round Necklace,Clothes,Jewelry
2163,Alexis Bittar Crystal Studded Post Earrings,Clothes,Jewelry
2164,BaubleBar Mini Hera Pendant Necklace,Clothes,Jewelry
2165,David Yurman Cable Classics Bracelet with Onyx and Gold,Clothes,Jewelry
2166,Mejuri Bold Hoops,Clothes,Jewelry
2167,Kate Spade New York Flying Colors Statement Stud Earrings,Clothes,Jewelry
2168,Monica Vinader Nura Mini Heart Necklace,Clothes,Jewelry
2169,Kendra Scott Elora Hoop Earrings,Clothes,Jewelry
2170,LAGOS Caviar Beaded Tassel Earrings,Clothes,Jewelry
2171,Swarovski Duo Evil Eye Pendant Necklace,Clothes,Jewelry
2172,Tiffany & Co. T Wire Ring,Clothes,Jewelry
2173,Sydney Evan 14k Gold Diamond Moon and Star Necklace,Clothes,Jewelry
2174,Bony Levy Diamond Cluster Ring,Clothes,Jewelry
2175,John Hardy Classic Chain Lava Ring,Clothes,Jewelry
2176,Gorjana G Ring Hoop Earrings,Clothes,Jewelry
2177,Jennifer Zeuner Necklace with Mini Swirly and Initial Charms,Clothes,Jewelry
2178,Kendra Scott Dira Cuff Bracelet,Clothes,Jewelry
2179,Pandora Pav� Heart Bracelet,Clothes,Jewelry
2180,LAGOS Black Caviar Diamond Hoop Earrings,Clothes,Jewelry
2181,Swarovski Crystal Evil Eye Pendant Necklace,Clothes,Jewelry
2182,BaubleBar Mini Alidia Bracelet,Clothes,Jewelry
2183,Alexis Bittar Asymmetrical Huggie Earrings,Clothes,Jewelry
2184,David Yurman Cable Classics Bracelet with Aquamarine and Gold,Clothes,Jewelry
2185,Monica Vinader Baja Precious Skinny Bar Bracelet,Clothes,Jewelry
2186,Kate Spade New York Heart to Heart Huggie Earrings,Clothes,Jewelry
2187,Kendra Scott Sophee Drop Earrings,Clothes,Jewelry
2188,Mejuri Double Chain Necklace,Clothes,Jewelry
2189,Swarovski Crystal Wishes Pendant Necklace,Clothes,Jewelry
2190,LAGOS Signature Caviar Diamond Stud Earrings,Clothes,Jewelry
2191,John Hardy Classic Chain Wave Pendant Necklace,Clothes,Jewelry
2192,Gorjana Bali Hoop Earrings,Clothes,Jewelry
2193,Sydney Evan 14k Gold Diamond Starburst Stud Earrings,Clothes,Jewelry
2194,Tiffany & Co. HardWear Ball Pendant Necklace,Clothes,Jewelry
2195,Bony Levy Diamond Hoop Earrings,Clothes,Jewelry
2196,Pandora Pav� Inspiration Safety Chain,Clothes,Jewelry
2197,Jennifer Zeuner Margaux Mini Hoop Earrings,Clothes,Jewelry
2198,BaubleBar Mini Hera Pendant Necklace,Clothes,Jewelry
