,Unnamed: 0,Given category,Given sub_category,Category,Sub_Category,brand,type
233,415,Beauty & Hygiene,Hair Care,,,Emami,Hair Oil & Serum
234,417,Beauty & Hygiene,Hair Care,,,Morpheme Remedies,Hair Oil & Serum
235,418,Beverages,"Health Drink, Supplement",,,Pediasure,Kids (5+Yrs)
236,420,Beauty & Hygiene,Men's Grooming,,,Man Arden,Face & Body
241,430,Beauty & Hygiene,Skin Care,,,Lakme,Face Care
244,435,Beverages,"Health Drink, Supplement",,,Enfagrow,Children (2-5 Yrs)
254,450,Cleaning & Household,Stationery,,,Papergrid,"Notebooks, Files, Folders"
257,459,Cleaning & Household,Stationery,,,Camlin,"Notebooks, Files, Folders"
264,476,Beauty & Hygiene,Health & Medicine,,,Kerala Ayurveda,Ayurveda
265,479,Beauty & Hygiene,Hair Care,,,LOreal Professionnel,Hair & Scalp Treatment
276,506,Beauty & Hygiene,Health & Medicine,,,Prabhat,Everyday Medicine
278,513,Beauty & Hygiene,Health & Medicine,,,Tulips,Cotton & Ear Buds
279,514,Cleaning & Household,Stationery,,,Doms,Colours & Crayons
280,516,"Kitchen, Garden & Pets",Storage & Accessories,,,Asian,Containers Sets
284,523,Beauty & Hygiene,Health & Medicine,,,Meghdoot,Ayurveda
287,532,Beauty & Hygiene,Men's Grooming,,,Qraa Men,Face & Body
297,548,Beauty & Hygiene,Men's Grooming,,,USTRAA,Face & Body
299,552,Beauty & Hygiene,Men's Grooming,,,Nivea Men,Face & Body
300,553,Beauty & Hygiene,Skin Care,,,Natures Essence,Face Care
301,554,Beauty & Hygiene,Men's Grooming,,,The Man Company,Face & Body
302,555,Beauty & Hygiene,Men's Grooming,,,Garnier Men,Face & Body
306,576,Beauty & Hygiene,Skin Care,,,Vegetal,Face Care
309,581,Cleaning & Household,Stationery,,,Pidilite,Games & Calculators
312,585,Beauty & Hygiene,Health & Medicine,,,FAST&UP,Supplements & Proteins
313,588,Beauty & Hygiene,Skin Care,,,RawNature,Face Care
314,589,Beauty & Hygiene,Skin Care,,,Oriental Botanics,Face Care
315,590,Beauty & Hygiene,Men's Grooming,,,Beardo,Bath & Shower
320,601,Beauty & Hygiene,Skin Care,,,Aloe Veda,Face Care
321,602,Beauty & Hygiene,Men's Grooming,,,Bombay Shaving Company,Bath & Shower
323,605,Beauty & Hygiene,Skin Care,,,Khadi Meghdoot ,Face Care
327,620,Beauty & Hygiene,Skin Care,,,Aroma Treasures,Face Care
329,624,Beauty & Hygiene,Men's Grooming,,,QRAA,Face & Body
331,630,Cleaning & Household,Fresheners & Repellents,,,Renew Air,Air Freshener
341,655,Beauty & Hygiene,Skin Care,,,Natures Organic,Face Care
348,677,Beauty & Hygiene,Bath & Hand Wash,,,Savlon,Hand Wash & Sanitizers
350,688,Beauty & Hygiene,Men's Grooming,,,Himalaya Men,Face & Body
351,694,Beauty & Hygiene,Health & Medicine,,,Charak,Ayurveda
355,710,Beauty & Hygiene,Health & Medicine,,,Doctor's Choice ,Adult Diapers
357,712,Beauty & Hygiene,Health & Medicine,,,Friends,Adult Diapers
363,729,Beauty & Hygiene,Health & Medicine,,,Kare Med,Adult Diapers
372,751,Beauty & Hygiene,Health & Medicine,,,Depend,Adult Diapers
373,752,Beauty & Hygiene,Hair Care,,,Pantene,Shampoo & Conditioner
375,756,Beauty & Hygiene,Feminine Hygiene,,,STAYFREE,Sanitary Napkins
376,759,Beauty & Hygiene,Bath & Hand Wash,,,Boroplus,Hand Wash & Sanitizers
378,761,Beauty & Hygiene,Skin Care,,,Just Herbs,Face Care
381,766,Beauty & Hygiene,Bath & Hand Wash,,,Trust,Hand Wash & Sanitizers
386,774,Beauty & Hygiene,Skin Care,,,Glow & Lovely,Face Care
387,775,Beauty & Hygiene,Health & Medicine,,,Amrutanjan,Antiseptics & Bandages
390,780,Beauty & Hygiene,Hair Care,,,Parachute ,Hair Oil & Serum
401,805,Beauty & Hygiene,Bath & Hand Wash,,,K.P. Namboodiris,Bathing Bars & Soaps
404,809,Cleaning & Household,Fresheners & Repellents,,,Godrej,Air Freshener
414,830,Beauty & Hygiene,Fragrances & Deos,,,Maryaj,Eau De Parfum
417,838,Beauty & Hygiene,Men's Grooming,,,Axe,Shaving Care
418,841,Beauty & Hygiene,Men's Grooming,,,Old Spice,Shaving Care
419,843,Beauty & Hygiene,Men's Grooming,,,Brut,Shaving Care
421,847,Beauty & Hygiene,Feminine Hygiene,,,Jeva,Hair Removal
422,848,Beauty & Hygiene,Skin Care,,,Plum,Body Care
423,852,Cleaning & Household,Pooja Needs,,,Gou Ganga,"Agarbatti, Incense Sticks"
426,857,Cleaning & Household,Pooja Needs,,,Cycle,"Agarbatti, Incense Sticks"
427,858,Cleaning & Household,Pooja Needs,,,Soft Touch,"Agarbatti, Incense Sticks"
441,894,Cleaning & Household,Pooja Needs,,,Yashoda ,"Agarbatti, Incense Sticks"
442,895,Cleaning & Household,Pooja Needs,,,ULLAS VIVIDHA,"Agarbatti, Incense Sticks"
445,902,Cleaning & Household,Pooja Needs,,,Shubhkart,Other Pooja Needs
447,905,Beauty & Hygiene,Skin Care,,,Jergens,Body Care
450,912,Beauty & Hygiene,Skin Care,,,Ponds,Eye Care
453,919,Beauty & Hygiene,Skin Care,,,Olay,Face Care
455,925,Beauty & Hygiene,Fragrances & Deos,,,Dorall Collection,Eau De Toilette
457,933,Beauty & Hygiene,Skin Care,,,Glamveda,Face Care
459,937,Beauty & Hygiene,Skin Care,,,Globus,Face Care
460,939,Beauty & Hygiene,Bath & Hand Wash,,,ZM LABS,Hand Wash & Sanitizers
463,953,Beauty & Hygiene,Health & Medicine,,,Durex,Sexual Wellness
464,954,Cleaning & Household,Fresheners & Repellents,,,Wonder Fresh ,Air Freshener
468,958,Cleaning & Household,Fresheners & Repellents,,,Hi-Fresh,Air Freshener
474,969,Cleaning & Household,Fresheners & Repellents,,,Kuxuna,Air Freshener
475,976,Cleaning & Household,Fresheners & Repellents,,,Odonil ,Air Freshener
477,979,Cleaning & Household,Fresheners & Repellents,,,Glade,Air Freshener
479,982,Cleaning & Household,Fresheners & Repellents,,,CamPure,Camphor & Wicks
482,992,Cleaning & Household,Fresheners & Repellents,,,Air wick,Air Freshener
483,997,"Kitchen, Garden & Pets",Storage & Accessories,,,Laplast,Containers Sets
489,1030,Beauty & Hygiene,Health & Medicine,,,Bixa Botanical,Ayurveda
490,1031,Cleaning & Household,Pooja Needs,,,Moksh,"Agarbatti, Incense Sticks"
491,1033,Beauty & Hygiene,Hair Care,,,Akshara Herbals,Hair Oil & Serum
492,1037,Beauty & Hygiene,Bath & Hand Wash,,,Bodyguard,Hand Wash & Sanitizers
494,1042,"Kitchen, Garden & Pets",Storage & Accessories,,,JOYO,Containers Sets
498,1051,"Kitchen, Garden & Pets",Appliances & Electricals,,,Panasonic,Battery & Electrical
502,1064,"Kitchen, Garden & Pets",Appliances & Electricals,,,Energizer,Battery & Electrical
512,1102,Beauty & Hygiene,Skin Care,,,The Face Shop,Face Care
514,1112,Beauty & Hygiene,Feminine Hygiene,,,Carmesi,Panty Liners
517,1118,Cleaning & Household,Fresheners & Repellents,,,All Out,Mosquito Repellent
518,1119,Cleaning & Household,Stationery,,,Classmate,"Notebooks, Files, Folders"
519,1120,"Kitchen, Garden & Pets",Storage & Accessories,,,All Time,Containers Sets
527,1138,Baby Care,Baby Bath & Hygiene,,,Mothercare ,Baby Bath
528,1144,Beauty & Hygiene,Fragrances & Deos,,,Enchanteur,Body Sprays & Mists
530,1146,Beauty & Hygiene,Hair Care,,,Sunsilk,Shampoo & Conditioner
532,1150,Beauty & Hygiene,Bath & Hand Wash,,,Shahnaz Husain,Shower Gel & Body Wash
534,1153,Beauty & Hygiene,Skin Care,,,INATUR ,Body Care
542,1182,Beauty & Hygiene,Skin Care,,,ST. D'VENCE,Aromatherapy
544,1189,Beauty & Hygiene,Hair Care,,,Hamdard,Hair Oil & Serum
545,1190,Beauty & Hygiene,Hair Care,,,Wells,Hair Oil & Serum
550,1208,Beauty & Hygiene,Skin Care,,,Lotus Herbals,Face Care
552,1213,Beauty & Hygiene,Skin Care,,,Iba,Face Care
553,1214,Beauty & Hygiene,Skin Care,,,Globus Naturals,Body Care
554,1220,Beauty & Hygiene,Skin Care,,,Green Leaf,Body Care
560,1239,Beauty & Hygiene,Skin Care,,,Aloederm,Face Care
569,1267,Beauty & Hygiene,Skin Care,,,Vaadi,Face Care
572,1274,Beauty & Hygiene,Skin Care,,,Body Cupid,Body Care
579,1295,Beauty & Hygiene,Skin Care,,,Satinance,Face Care
580,1298,Beauty & Hygiene,Hair Care,,,Dabur Amla,Hair Oil & Serum
581,1299,Beauty & Hygiene,Skin Care,,,TJORI,Body Care
582,1300,Beauty & Hygiene,Health & Medicine,,,Brimune,Supplements & Proteins
583,1302,Beauty & Hygiene,Health & Medicine,,,Baidyanath,Ayurveda
585,1307,Beauty & Hygiene,Feminine Hygiene,,,Gillette Venus,Hair Removal
587,1313,Beauty & Hygiene,Skin Care,,,SSCPL HERBALS,Face Care
591,1319,Beauty & Hygiene,Skin Care,,,Khadi Natural,Face Care
593,1328,Beauty & Hygiene,Skin Care,,,Banjara's,Face Care
600,1338,Beauty & Hygiene,Skin Care,,,Bionova,Face Care
607,1357,Beauty & Hygiene,Skin Care,,,Wow Skin Science,Face Care
609,1359,Beauty & Hygiene,Health & Medicine,,,ORGANIC INDIA,Supplements & Proteins
610,1360,Beauty & Hygiene,Health & Medicine,,,Desi Utthana,Supplements & Proteins
611,1363,Beauty & Hygiene,Health & Medicine,,,Muniyal Ayurveda,Ayurveda
612,1365,Beauty & Hygiene,Fragrances & Deos,,,Skinn by Titan,Perfume
615,1377,Beauty & Hygiene,Fragrances & Deos,,,J Del Pozo,Eau De Toilette
616,1380,Beauty & Hygiene,Fragrances & Deos,,,Nike,Eau De Toilette
620,1397,Beauty & Hygiene,Health & Medicine,,,Sri Sri Tattva,Ayurveda
631,1441,Beauty & Hygiene,Health & Medicine,,,Akiva,Supplements & Proteins
635,1455,Beauty & Hygiene,Health & Medicine,,,Maharishi Ayurveda ,Ayurveda
646,1494,Cleaning & Household,Pooja Needs,,,Mangaldeep,"Agarbatti, Incense Sticks"
649,1503,Beauty & Hygiene,Fragrances & Deos,,,Creation Lamis,Eau De Parfum
651,1509,Beauty & Hygiene,Skin Care,,,Sri Sri Ayurveda ,Face Care
662,1543,"Kitchen, Garden & Pets",Pet Food & Accessories,,,Pet king,Pet Collars & Leashes
667,1581,Beauty & Hygiene,Skin Care,,,Lever Ayush,Face Care
668,1585,"Kitchen, Garden & Pets",Kitchen Accessories,,,NNF,Kitchen Tools & Other Accessories
672,1610,Beauty & Hygiene,Skin Care,,,Shankara,Face Care
676,1622,Beauty & Hygiene,Skin Care,,,Mirabelle,Face Care
677,1631,Beauty & Hygiene,Feminine Hygiene,,,Sofy,Sanitary Napkins
680,1638,Beauty & Hygiene,Skin Care,,,Vaseline,Body Care
681,1641,Beauty & Hygiene,Bath & Hand Wash,,,Hygienix,Hand Wash & Sanitizers
682,1645,"Kitchen, Garden & Pets",Pet Food & Accessories,,,Wahl,Pet Cleaning & Grooming
683,1648,Beauty & Hygiene,Hair Care,,,Head & shoulders,Shampoo & Conditioner
685,1657,Beauty & Hygiene,Feminine Hygiene,,,Fem,Hair Removal
687,1661,Beauty & Hygiene,Health & Medicine,,,Ring Guard,Everyday Medicine
692,1679,Beauty & Hygiene,Hair Care,,,Mediker,Hair Oil & Serum
696,1717,Cleaning & Household,Fresheners & Repellents,,,HIT,Insect Repellent
710,1793,Beauty & Hygiene,Health & Medicine,,,SIDDHAYU,Ayurveda
715,1828,Beauty & Hygiene,Skin Care,,,Olivia,Face Care
716,1831,"Kitchen, Garden & Pets",Storage & Accessories,,,Steelo Sunpet,Water & Fridge Bottles
724,1863,Beauty & Hygiene,Fragrances & Deos,,,Bvlgari,Body Sprays & Mists
729,1893,Beauty & Hygiene,Bath & Hand Wash,,,XPEL,Shower Gel & Body Wash
733,1919,Beauty & Hygiene,Fragrances & Deos,,,All Good Scents,Gift Sets
739,1948,Beauty & Hygiene,Skin Care,,,Love Beauty & Planet,Body Care
744,1961,Beauty & Hygiene,Skin Care,,,Do Bandar,Body Care
746,1966,Beauty & Hygiene,Health & Medicine,,,Herbal Hills,Supplements & Proteins
748,1968,Cleaning & Household,Stationery,,,Apsara,"Pen, Pencils"
754,1981,Cleaning & Household,Stationery,,,Faber castell,Colours & Crayons
767,2020,Beauty & Hygiene,Health & Medicine,,,Vedapure,Ayurveda
768,2024,Beauty & Hygiene,Health & Medicine,,,Upakarma,Supplements & Proteins
774,2041,Beauty & Hygiene,Health & Medicine,,,Nxtgen Ayurveda,Supplements & Proteins
782,2068,Cleaning & Household,Stationery,,,Luxor,"Pen, Pencils"
783,2073,"Kitchen, Garden & Pets",Storage & Accessories,,,Nouvetta,Water & Fridge Bottles
785,2085,"Kitchen, Garden & Pets",Kitchen Accessories,,,Kvg,Kitchen Tools & Other Accessories
786,2086,"Kitchen, Garden & Pets",Kitchen Accessories,,,Crystal,Kitchen Tools & Other Accessories
788,2090,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",,,Top Ramen ,Instant Noodles
789,2091,Beauty & Hygiene,Fragrances & Deos,,,Neesh,Eau De Parfum
794,2118,Beauty & Hygiene,Hair Care,,,Godrej Professional,Hair & Scalp Treatment
802,2155,Beauty & Hygiene,Skin Care,,,Natural Vibes,Face Care
809,2195,Beauty & Hygiene,Bath & Hand Wash,,,Shower To Shower,Talcum Powder
814,2213,Beauty & Hygiene,Hair Care,,,Kesh King,Hair Oil & Serum
818,2246,Beauty & Hygiene,Fragrances & Deos,,,Lalique,Eau De Parfum
819,2247,Beauty & Hygiene,Hair Care,,,Bblunt,Tools & Accessories
820,2255,Baby Care,Feeding & Nursing,,,Quick Dry,Bibs & Napkins
822,2264,Baby Care,Baby Bath & Hygiene,,,Aveeno,Baby Oil & Shampoo
824,2283,Beauty & Hygiene,Bath & Hand Wash,,,Continent Spice Khadi,Shower Gel & Body Wash
827,2300,Baby Care,Baby Bath & Hygiene,,,Johnsons,Baby Creams & Lotions
830,2319,Baby Care,Feeding & Nursing,,,Poop-cee,Sippers & Bottles
831,2320,Baby Care,Feeding & Nursing,,,Dimpu Poop-Cee,Sippers & Bottles
833,2329,Baby Care,Feeding & Nursing,,,Vauva,Sippers & Bottles
836,2340,Beauty & Hygiene,Hair Care,,,Mom & World,Hair Oil & Serum
837,2343,Beauty & Hygiene,Health & Medicine,,,Bella,Cotton & Ear Buds
841,2378,Baby Care,Baby Bath & Hygiene,,,Morisons Baby Dreams,Baby Health
842,2395,Baby Care,Baby Bath & Hygiene,,,Pigeon,Baby Oil & Shampoo
844,2409,Baby Care,Baby Bath & Hygiene,,,Softsens,Baby Powder
853,2454,Beauty & Hygiene,Health & Medicine,,,Vicks,Everyday Medicine
857,2481,Beverages,"Health Drink, Supplement",,,Manna ,Kids (5+Yrs)
862,2494,Beauty & Hygiene,Health & Medicine,,,Himalaya Wellness,Supplements & Proteins
863,2513,Cleaning & Household,Stationery,,,Flair,"Pen, Pencils"
866,2520,Cleaning & Household,Stationery,,,Rorito,"Pen, Pencils"
868,2522,Cleaning & Household,Stationery,,,Reynolds,"Pen, Pencils"
869,2528,Cleaning & Household,Stationery,,,BIC Cello,"Pen, Pencils"
870,2533,Cleaning & Household,Stationery,,,Natraj,"Pen, Pencils"
871,2534,Beauty & Hygiene,Health & Medicine,,,Siang Pure,Everyday Medicine
872,2536,Cleaning & Household,Party & Festive Needs,,,Pahal,"Caps, Balloons & Candles"
873,2537,Cleaning & Household,Party & Festive Needs,,,B Vishal,"Caps, Balloons & Candles"
876,2543,Beauty & Hygiene,Health & Medicine,,,Zandu,Ayurveda
879,2550,Beauty & Hygiene,Skin Care,,,Regal Essence,Face Care
884,2562,"Kitchen, Garden & Pets",Kitchen Accessories,,,Bamboooz,Choppers & Graters
886,2585,"Kitchen, Garden & Pets",Steel Utensils,,,Vinayak,Steel Storage Containers
887,2587,Beauty & Hygiene,Skin Care,,,Fizzy Fern,Body Care
897,2672,Beauty & Hygiene,Bath & Hand Wash,,,Bare Essentials,Bathing Accessories
898,2680,Beauty & Hygiene,Bath & Hand Wash,,,50ap,Bathing Bars & Soaps
901,2692,Beauty & Hygiene,Bath & Hand Wash,,,Palmex,Bathing Accessories
902,2693,Cleaning & Household,Bins & Bathroom Ware,,,Princeware,Buckets & Mugs
904,2703,Cleaning & Household,Bins & Bathroom Ware,,,SKI,"Bath Stool, Basin & Sets"
906,2717,Beauty & Hygiene,Feminine Hygiene,,,Remington,Hair Removal
912,2767,Beauty & Hygiene,Fragrances & Deos,,,Dkny,Eau De Parfum
915,2805,Beauty & Hygiene,Men's Grooming,,,Bigen,Moustache & Beard Care
918,2815,Beauty & Hygiene,Men's Grooming,,,Uncle Tony,Moustache & Beard Care
930,2888,Beauty & Hygiene,Health & Medicine,,,Chicnutrix,Supplements & Proteins
931,2903,Beauty & Hygiene,Men's Grooming,,,Park avenue,Bath & Shower
932,2915,"Kitchen, Garden & Pets",Storage & Accessories,,,Saura,Water & Fridge Bottles
935,2928,Beauty & Hygiene,Fragrances & Deos,,,Bentley,Eau De Parfum
938,2947,Beauty & Hygiene,Skin Care,,,Soulflower,Aromatherapy
939,2958,Snacks & Branded Foods,Indian Mithai,,,Sangam Sweets,Fresh Sweets
940,2959,"Kitchen, Garden & Pets",Pet Food & Accessories,,,Petcrux,Pet Meals & Treats
945,2988,Beverages,"Health Drink, Supplement",,,Glucon-D,"Glucose Powder, Tablets"
946,2991,Beauty & Hygiene,Fragrances & Deos,,,David Beckham,Eau De Toilette
947,2996,"Kitchen, Garden & Pets",Storage & Accessories,,,Swastik,Lunch Boxes
954,3046,Cleaning & Household,Stationery,,,Ravi Agencies,"Notebooks, Files, Folders"
955,3057,Beauty & Hygiene,Skin Care,,,Greenberry Organics,Face Care
957,3073,Beauty & Hygiene,Hair Care,,,Indus Valley,Hair Oil & Serum
966,3151,Beauty & Hygiene,Hair Care,,,Herbal Essence,Shampoo & Conditioner
980,3229,Beauty & Hygiene,Health & Medicine,,,Alvizia,Supplements & Proteins
983,3240,Beauty & Hygiene,Health & Medicine,,,GoYNG,Supplements & Proteins
984,3243,Beauty & Hygiene,Health & Medicine,,,Pure Nutrition,Supplements & Proteins
988,3280,Beauty & Hygiene,Men's Grooming,,,Barber's Club,Face & Body
991,3289,Beauty & Hygiene,Fragrances & Deos,,,Aigner,Eau De Toilette
1002,3351,Beauty & Hygiene,Skin Care,,,Clean & Clear,Face Care
1003,3354,"Kitchen, Garden & Pets",Storage & Accessories,,,Borosil,Lunch Boxes
1004,3355,Beauty & Hygiene,Skin Care,,,Richfeel,Face Care
1006,3375,Beauty & Hygiene,Fragrances & Deos,,,Fogg ,Men's Deodorants
1007,3380,Beauty & Hygiene,Skin Care,,,Lotus Organics+,Face Care
1008,3382,Beauty & Hygiene,Health & Medicine,,,Foresta Organics,Supplements & Proteins
1010,3390,Beauty & Hygiene,Fragrances & Deos,,,Nautica,Eau De Toilette
1012,3411,Beauty & Hygiene,Fragrances & Deos,,,Police,Eau De Toilette
1013,3419,Beauty & Hygiene,Bath & Hand Wash,,,Muyi,Bathing Accessories
1020,3471,Beauty & Hygiene,Skin Care,,,Creightons,Body Care
1021,3474,Beauty & Hygiene,Skin Care,,,Glysolid,Body Care
1023,3491,Beauty & Hygiene,Skin Care,,,Happily Unmarried,Body Care
1024,3511,Beauty & Hygiene,Skin Care,,,ColorBar,Body Care
1026,3542,Beauty & Hygiene,Skin Care,,,Neutrogena,Body Care
1028,3545,Beauty & Hygiene,Fragrances & Deos,,,HE,Body Sprays & Mists
1029,3546,Beauty & Hygiene,Bath & Hand Wash,,,Ezy Be,Bathing Accessories
1030,3547,Beauty & Hygiene,Bath & Hand Wash,,,Nice,Bathing Accessories
1034,3567,Beauty & Hygiene,Fragrances & Deos,,,Secret Temptation,Women's Deodorants
1035,3573,Beauty & Hygiene,Bath & Hand Wash,,,Vivel,Shower Gel & Body Wash
1040,3617,Beauty & Hygiene,Bath & Hand Wash,,,DELON,Shower Gel & Body Wash
1043,3637,Fruits & Vegetables,Cuts & Sprouts,,,Tadaa,Cut & Peeled Veggies
1046,3645,Beverages,"Health Drink, Supplement",,,Glucovita,"Glucose Powder, Tablets"
1048,3649,"Kitchen, Garden & Pets",Storage & Accessories,,,Milton,Lunch Boxes
1049,3651,Beauty & Hygiene,Hair Care,,,Schwarzkopf Professional,Hair & Scalp Treatment
1050,3654,Cleaning & Household,Bins & Bathroom Ware,,,Nayasa,Buckets & Mugs
1052,3674,"Kitchen, Garden & Pets",Storage & Accessories,,,Home Puff,Lunch Boxes
1070,3880,Cleaning & Household,Stationery,,,Goodluck,"Pen, Pencils"
1071,3882,Cleaning & Household,Stationery,,,Good Luck,"Pen, Pencils"
1072,3898,Beauty & Hygiene,Skin Care,,,LuxaDerme,Face Care
1075,3905,Beauty & Hygiene,Skin Care,,,Everyuth Naturals,Face Care
1077,3923,Beauty & Hygiene,Hair Care,,,Indulekha,Shampoo & Conditioner
1078,3935,"Kitchen, Garden & Pets",Storage & Accessories,,,Command,Wall Hooks & Hangers
1081,3944,"Foodgrains, Oil & Masala",Dals & Pulses,,,Super Saver,"Toor, Channa & Moong Dal"
1088,3990,Beauty & Hygiene,Health & Medicine,,,Strawberry,Cotton & Ear Buds
1089,3992,Beauty & Hygiene,Skin Care,,,Dirty Works,Body Care
1092,4001,Cleaning & Household,Fresheners & Repellents,,,RED LINE,Insect Repellent
1093,4006,Beauty & Hygiene,Health & Medicine,,,Rock Gold,Ayurveda
1094,4018,Cleaning & Household,Stationery,,,Sterling,Games & Calculators
1095,4019,Cleaning & Household,Stationery,,,SRS,"Notebooks, Files, Folders"
1097,4027,Beauty & Hygiene,Skin Care,,,Miss Claire,Lip Care
1098,4030,Beauty & Hygiene,Health & Medicine,,,Skore,Sexual Wellness
1100,4045,Cleaning & Household,Stationery,,,Parksons,Games & Calculators
1105,4083,"Kitchen, Garden & Pets",Pet Food & Accessories,,,Wiggles.in,Pet Meals & Treats
1107,4088,Beauty & Hygiene,Men's Grooming,,,Trigodon,Shaving Care
1108,4103,Cleaning & Household,Pooja Needs,,,Om Bhakti,Other Pooja Needs
1109,4106,Cleaning & Household,Pooja Needs,,,R.E Camphor,Camphor & Wicks
1110,4111,Beauty & Hygiene,Skin Care,,,Faces,Body Care
1115,4140,Cleaning & Household,Pooja Needs,,,Kiara Foods,Other Pooja Needs
1132,4296,Beauty & Hygiene,Hair Care,,,Gold Deer,Hair Oil & Serum
1136,4375,Cleaning & Household,Fresheners & Repellents,,,Krazy Lines,Insect Repellent
1186,4761,Beverages,"Health Drink, Supplement",,,Ensure,Men & Women
1188,4766,Beverages,"Health Drink, Supplement",,,Cadburry,Kids (5+Yrs)
1191,4789,Beauty & Hygiene,Feminine Hygiene,,,Whisper ,Sanitary Napkins
1192,4800,"Kitchen, Garden & Pets",Kitchen Accessories,,,Ganesh,Choppers & Graters
1200,4855,"Kitchen, Garden & Pets",Storage & Accessories,,,Yellow Spark,Lunch Boxes
1205,4912,Fruits & Vegetables,"Flower Bouquets, Bunches",,,RoseBazaar,Other Flowers
1209,4988,Cleaning & Household,Fresheners & Repellents,,,Baygon,Insect Repellent
1214,5046,Beauty & Hygiene,Skin Care,,,Creme 21,Face Care
1215,5050,Beauty & Hygiene,Fragrances & Deos,,,Jaguar,Eau De Toilette
1216,5058,"Kitchen, Garden & Pets",Pet Food & Accessories,,,Trixie,Pet Collars & Leashes
1219,5067,Snacks & Branded Foods,Indian Mithai,,,IndiSecrets,Chikki & Gajjak
1220,5075,Beauty & Hygiene,Men's Grooming,,,Supermax,Shaving Care
1221,5088,Beauty & Hygiene,Feminine Hygiene,,,Clean And Dry,Intimate Wash & Care
