,Description,Category,Sub_Category
91,COMCAST CALIFORNIA 800-COMCAST CASZTUN69246602400,Utilities,Internet
94,SQ *UTAKEENTGROUP EMERYVILLE CA0001152921513251778854,Travel/Entertainment,Travel/Entertainment
97,WALMART STORE 02119 MILPITAS CA,Merchandise,Merchandise
99,PLANNED PARENTHOOD HAYWARD CA,Medical,Medical
100,CITY OF SUNNYVALE BAYLAN SUNNYVALE CA,Auto,Fees
104,COMCAST CALIFORNIA 800-COMCAST CA3PI1J70818594400,Utilities,Internet
106,ERAC TOLL 24612L 877-860-1258 CA,Travel/Entertainment,Travel/Entertainment
111,SAFEWAY #1990 SANTA CLARA CA,Food,Groceries
112,SENDO SUSHI SAN JOSE CA,Food,Restaurants
113,CHICK-FIL-A #02807 SAN JOSE CA,Food,Restaurants
114,MIKAYLAS CAFE SANTA CLARA CA,Food,Restaurants
116,BUFFALO WILD WINGS LIVER LIVERMORE CA,Food,Restaurants
117,QUALITY TUNE-UP CAR CARE MILPITAS CA,Auto,Auto
120,COMCAST CALIFORNIA 800-COMCAST CAGCUPH72415737000,Utilities,Internet
121,SP DOSSIER PERFUMES 2125379464 NY,Personal_Care,Personal_Care
124,A         S         C,Payments and Credits,Payments and Credits
126,SAFEWAY #0316 SAN JOSE CA,Food,Groceries
127,SQ *TEMPLE BAR & LOUNG SAN JOSE CA0001152921513481899615,Food,Restaurants
128,CENTURY THEATRES 440 MILPITAS CA0440008E5F7C,Travel/Entertainment,Travel/Entertainment
130,COMCAST CALIFORNIA 800-COMCAST CAONGQ674026880800,Utilities,Internet
135,THE NEW PARISH OAKLAND CA,Food,Restaurants
139,CVS/PHARMACY #00422 SAN JOSE CA,Medical,Pharmacy
140,BACK A YARD CARIBBEAN SAN JOSE CA,Food,Restaurants
141,STARBUCKS 71415 MILPITAS CA,Food,Restaurants
142,YARTS 402-935-7733 CA,Travel/Entertainment,Travel/Entertainment
144,TST* WOODWARD NRO USE FRESNO CA00117882015648560287AA,Food,Restaurants
145,COMCAST CALIFORNIA 800-COMCAST CAE40LF75757808800,Utilities,Internet
151,K1 SPEED SANTA CLARA 949-250-0242 CA,Travel/Entertainment,Travel/Entertainment
152,COMCAST CALIFORNIA 800-COMCAST CAJV5C199696451300,Utilities,Internet
160,CSJ MKT & S PEDRO GARAGE SAN JOSE CA,Auto,Auto
162,SQ *SAN JOSE AXEVENTUR GOSQ.COM CA0001152921513788345744,Travel/Entertainment,Travel/Entertainment
163,TST* SAN PEDRO SOCIAL SAN JOSE CA00129395016579602555AA,Food,Restaurants
164,FISH IS WILD 6692255569 CA,Food,Restaurants
165,AMAZON.COM*RA4TI8CD0 AMZN.COM/BILLWA6HGRFI7RLNG,Merchandise,Merchandise
167,COMCAST CALIFORNIA 800-COMCAST CA10OV079354803000,Utilities,Internet
168,MED*OCONNOR COMMUNITY SAN JOSE CA229881325,Medical,Medical
171,ACTIVE N FIT NOW 844-646-2746 CA,Subscriptions_Memberships,Gym
172,AMERICAN AIRLINES ARC TULSA OKEXPEDIA.COM TRAVEL SEATTLE W,Travel/Entertainment,Travel/Entertainment
173,SQ *SAN JOSE AXEVENTUR GOSQ.COM CA0001152921513860658509,Travel/Entertainment,Travel/Entertainment
174,EXPEDIA 72799580725240 EXPEDIA.COM WAWOV3MTF3H,Travel/Entertainment,Travel/Entertainment
175,UNITED AIRLINES 18004214655 TX,Travel/Entertainment,Travel/Entertainment
177,CARAVAN LOUNGE SAN JOSE CA,Food,Restaurants
180,TST* SAN PEDRO SOCIAL SAN JOSE CA00129395017088248255AA,Food,Restaurants
181,TST* LA CATALANA SAN JOSE CA,Food,Restaurants
183,WHEEL WORKS 234230 MILPITAS CA01730R,Auto,Auto
185,COMCAST CALIFORNIA 800-COMCAST CAUQXC381076883200,Utilities,Internet
187,AMZN MKTP US*LR5DI8IX3 AMZN.COM/BILLWAAS6JHCINAXF,Merchandise,Merchandise
188,SQ *GOLDEN SAFARI REST HAYWARD CA0001152921513937546788,Food,Restaurants
192,TOKIO LOS ANGELES LLC LOS ANGELES CA,Food,Restaurants
193,TST* THE DEN ON SUNSET WEST HOLLYWOOCA,Food,Restaurants
194,BIRTHDAY - $5 STATEMENT CREDIT,Payments and Credits,Payments and Credits
197,TST* LITA - WALNUT CREEK WALNUT CREEK CA,Food,Restaurants
198,JACK IN THE BOX 4388 SANTA CLARA CA02224R,Food,Restaurants
199,COMCAST CALIFORNIA 800-COMCAST CACX6NX83689017000,Utilities,Internet
200,SQ *BAY AREA AXEVENTUR GOSQ.COM CA0001152921514103731584,Travel/Entertainment,Travel/Entertainment
201,SQ *BAY AREA AXEVENTUR BERKELEY CA0001152921514114067716,Payments and Credits,Payments and Credits
202,SQ *SAN JOSE AXEVENTUR GOSQ.COM CA0001152921514114112140,Travel/Entertainment,Travel/Entertainment
210,SKI RUN MARINA SOUTH LAKE TACA,Services,Services
211,SQ *ZEPHYR COVE STABLE ZEPHYR COVE NV0001152921514222311332,Travel/Entertainment,Travel/Entertainment
213,SIGNIA SAN JOSE AJI BAR SAN JOSE CA,Food,Restaurants
214,AMAZON.COM*BJ1RF0I13 AMZN.COM/BILLWA6NB8JF6CW5L,Merchandise,Merchandise
215,7-ELEVEN 20580 LOS ANGELES CA,Auto,Gas
216,COMCAST CALIFORNIA 800-COMCAST CAUG7FM85952987800,Utilities,Internet
217,GRAPEVINE FOOD MART LEBEC CA,Auto,Gas
219,SAN JOSE TIRES SAN JOSE CA,Auto,Auto
223,PROGRESSIVE *INSURANCE 800-776-4737 OH975931428641636632,Auto,Insurance
225,FIREHOUSE NO 1 SAN JOSE CA,Food,Restaurants
226,AMAZON MKTPL*RS0UZ68L2 AMZN.COM/BILLWA1SMUFDKEFKJ,Merchandise,Merchandise
227,AMAZON.COM*RS9V76760 AMZN.COM/BILLWA3R8T1VDJDDV,Merchandise,Merchandise
228,AMAZON MKTPL*RS8WP2SZ1 AMZN.COM/BILLWA5R7CX2JWPWU,Merchandise,Merchandise
229,COMCAST CALIFORNIA 800-COMCAST CA92NSK87897760800,Utilities,Internet
233,SQ *TAXI TOUR SAN FRANCISCOCA0001152921514384807091,Travel/Entertainment,Travel/Entertainment
234,TST*SWISS LOUIS ITALIA SAN FRANCISCOCA00097596019282675718AA,Food,Restaurants
237,BJ'S RESTAURANTS 520 SANTA ROSA CA00398R,Food,Restaurants
241,FRONTLINE 888-221-1161 NY,Travel/Entertainment,Travel/Entertainment
242,ISLAND E TICKETS 3474941646 FL,Travel/Entertainment,Travel/Entertainment
243,AMAZON.COM*RU2OR5EX0 AMZN.COM/BILLWA66BQZ3G5SJO,Merchandise,Merchandise
245,TST*SWEET FINGERS JAMA OAKLAND CA00083162019637973631AA,Food,Restaurants
246,COMCAST CALIFORNIA 800-COMCAST CAZ3JD889522723400,Utilities,Internet
247,TST*THE BREAKFAST CLUB SAN JOSE CA00013939019696802894AA,Food,Restaurants
248,ACTION URGENT CARE 8882163009 CA,Medical,Medical
250,ACTION URGENT CARE 8882163009 CAREVERSAL OF TEMPORARY CREDIT,Merchandise,Merchandise
251,ACTION URGENT CARE 8882163009 CATEMPORARY CREDIT PENDING INVESTIGATION,Payments and Credits,Payments and Credits
252,AMAZON MKTPL*RK8043V41 AMZN.COM/BILLWA4MUIQGR5SF9,Merchandise,Merchandise
254,PLAYSTATION NETWORK SAN MATEO CA,Merchandise,Merchandise
257,WIPEOUT BAR & GRILL SAN FRANCISCOCA,Food,Restaurants
258,AMAZON.COM*Z81DJ9ZL1 AMZN.COM/BILLWA7CY86ARCZRZ,Merchandise,Merchandise
259,SHAN RESTAURANT SAN JOSE CA,Food,Restaurants
261,COMCAST CALIFORNIA 800-COMCAST CAAKQU991068248800,Utilities,Internet
263,NAYAX COPY SERVICES WILLOWBROOK ILAPPLE PAY ENDING IN 5232,Services,Services
267,COMCAST CALIFORNIA 800-COMCAST CAS9HY237578150700,Utilities,Internet
270,FRONTLINE 8326564027 NY,Travel/Entertainment,Travel/Entertainment
271,AMAZON MKTPL*US5QS0QC3 AMZN.COM/BILLWAHBQ47CA7YZ4,Merchandise,Merchandise
272,AMAZON MKTPL*3C6F85Y63 AMZN.COM/BILLWA2OQ9PIV9769,Merchandise,Merchandise
273,AMAZON MKTPL*G03JE03X3 AMZN.COM/BILLWAGNDNBFIRL92,Merchandise,Merchandise
276,COMCAST CALIFORNIA 800-COMCAST CAE7SKC94523062800,Utilities,Internet
277,AMAZON MKTPL*Z33TH9160 AMZN.COM/BILLWA3Z8J47JXYBA,Merchandise,Merchandise
281,AMAZON MKTPL*ZE5ZD5GA2 AMZN.COM/BILLWA4JUX4OJJ46B,Merchandise,Merchandise
282,COMCAST CALIFORNIA 800-COMCAST CA3YRCA96591810000,Utilities,Internet
284,SKIPLAGGED*XPZMYA 8122333334 NY,Travel/Entertainment,Travel/Entertainment
285,SPIRIT AIRLINES 8014012222 FL,Travel/Entertainment,Travel/Entertainment
286,TST*THE TABLE-CA SAN JOSE CA00070059022098449715AA,Food,Restaurants
290,AMAZON MKTPL*ZD5UU9XL2 AMZN.COM/BILLWAHIEGACSBKYY,Merchandise,Merchandise
291,AMAZON MKTPL*ZP9GR9N21 AMZN.COM/BILLWA3BGNNAD1SU0,Merchandise,Merchandise
292,SP DOSSIER PERFUMES 6463748890 NY,Merchandise,Merchandise
293,COMCAST CALIFORNIA 800-COMCAST CAQWVLF98259204400,Utilities,Internet
294,SQ *NOSSO OAKLAND CA0001152921515059929877,Food,Restaurants
296,CREPEVINE SAN JOSE CA,Food,Restaurants
297,THE BOILING CRAB SAN JOSE CA,Food,Restaurants
300,PHO KHANG SANTA CLARA CA,Food,Restaurants
302,AMAZON MKTPL*CN9PD91T3 AMZN.COM/BILLWA5P3MSDTX2DE,Merchandise,Merchandise
306,COMCAST CALIFORNIA 800-COMCAST CAPUSY100386270800,Utilities,Internet
307,CHIPOTLE 1561 SAN JOSE CATEMPORARY CREDIT PENDING INVESTIGATION,Payments and Credits,Payments and Credits
308,AMAZON MKTPL*5X2CL48D3 AMZN.COM/BILLWA1EOL1OQ4RPT,Merchandise,Merchandise
309,RH MARIN RESTAURANT CORTE MADERA CA,Food,Restaurants
