,Description,Category,Sub_Category
187,"Silverware (forks, knives, spoons)",Home,Kitchen
188,Slow cooker,Home,Kitchen
189,Spatula,Home,Kitchen
190,Spice rack,Home,Kitchen
191,Sponge,Home,Kitchen
192,Springform pan,Home,Kitchen
193,Stockpot,Home,Kitchen
194,Toaster,Home,Kitchen
195,Toaster oven,Home,Kitchen
196,Trash bags,Home,Kitchen
197,Vegetable peeler,Home,Kitchen
198,Whisk,Home,Kitchen
199,Aluminum foil,Home,Kitchen
200,Baking cups,Home,Kitchen
201,Baking sheets,Home,Kitchen
202,Bread box,Home,Kitchen
203,Butter dish,Home,Kitchen
204,Cake pan,Home,Kitchen
205,Casserole dish,Home,Kitchen
206,Cheese grater,Home,Kitchen
207,Citrus juicer,Home,Kitchen
208,Colander,Home,Kitchen
209,Cookie cutters,Home,Kitchen
210,Cookie sheets,Home,Kitchen
211,Cooling rack,Home,Kitchen
212,Corn holders,Home,Kitchen
213,Cream dispenser,Home,Kitchen
214,Cupcake pan,Home,Kitchen
215,"Dinnerware (plates, bowls)",Home,Kitchen
216,Egg timer,Home,Kitchen
217,Espresso machine,Home,Kitchen
218,Flour sifter,Home,Kitchen
219,Fondue pot,Home,Kitchen
220,Food chopper,Home,Kitchen
221,Food storage containers,Home,Kitchen
222,Fruit bowl,Home,Kitchen
223,Gravy boat,Home,Kitchen
224,Ice cream scoop,Home,Kitchen
225,Instant-read thermometer,Home,Kitchen
226,Jar opener,Home,Kitchen
227,Knife sharpener,Home,Kitchen
228,Lemon squeezer,Home,Kitchen
229,Meat grinder,Home,Kitchen
230,Meat thermometer,Home,Kitchen
231,Milk frother,Home,Kitchen
232,Muffin pan,Home,Kitchen
233,Nutcracker,Home,Kitchen
234,Oil mister,Home,Kitchen
235,Pancake griddle,Home,Kitchen
236,Pastry bag,Home,Kitchen
237,Pastry brush,Home,Kitchen
238,Pizza cutter,Home,Kitchen
239,Ramekins,Home,Kitchen
240,Roasting pan,Home,Kitchen
241,Salad tongs,Home,Kitchen
242,Saucepan,Home,Kitchen
243,Tea kettle,Home,Kitchen
264,Adjustable wrench (Crescent),Home,Tools
265,Allen wrench set (Craftsman),Home,Tools
266,Angle grinder (DeWalt),Home,Tools
267,Auto darkening welding helmet (Lincoln Electric),Home,Tools
268,Bench vise (Wilton),Home,Tools
269,Bolt cutters (Klein Tools),Home,Tools
270,Brad nailer (Hitachi),Home,Tools
271,Cable ties (3M),Home,Tools
272,C-clamp (Bessey),Home,Tools
273,Caulking gun (Ryobi),Home,Tools
274,Circular saw (Makita),Home,Tools
275,Clamps (Irwin Tools),Home,Tools
276,Claw hammer (Estwing),Home,Tools
277,Combination square (Swanson Tool),Home,Tools
278,Cordless drill (Milwaukee),Home,Tools
279,Crowfoot wrench set (Sunex Tools),Home,Tools
280,Cutting pliers (Klein Tools),Home,Tools
281,Digital caliper (Mitutoyo),Home,Tools
282,Disc sander (Jet),Home,Tools
283,Drill bits (Bosch),Home,Tools
284,Duct tape (3M),Home,Tools
285,Electrical tape (3M),Home,Tools
286,File set (Nicholson),Home,Tools
287,Finish nailer (Senco),Home,Tools
288,Flare nut wrench set (GearWrench),Home,Tools
289,Flashlight (Streamlight),Home,Tools
290,Framing hammer (Stiletto),Home,Tools
291,Grease gun (Lincoln Industrial),Home,Tools
292,Hack saw (Lenox Tools),Home,Tools
293,Hacksaw blades (Irwin Tools),Home,Tools
294,Handheld vacuum (Dyson),Home,Tools
295,Heat gun (Wagner),Home,Tools
296,Hex key set (Bondhus),Home,Tools
297,Hole saw (Milwaukee),Home,Tools
298,Impact driver (Dewalt),Home,Tools
299,Impact wrench (Snap-On),Home,Tools
300,Jigsaw (Bosch),Home,Tools
301,Job site radio (DeWalt),Home,Tools
302,Jointer (Jet),Home,Tools
303,Leather work gloves (Wells Lamont),Home,Tools
304,Levels (Stabila),Home,Tools
305,Locking pliers (Vise-Grip),Home,Tools
306,Magnetic screwdriver set (Klein Tools),Home,Tools
307,Mallet (Stiletto),Home,Tools
308,Measuring tape (Stanley),Home,Tools
309,Metal chop saw (Evolution Power Tools),Home,Tools
310,Metric socket set (Craftsman),Home,Tools
311,Multimeter (Fluke),Home,Tools
312,Needle nose pliers (Channellock),Home,Tools
313,Oil filter wrench (Lisle),Home,Tools
314,Oscillating multi-tool (Dremel),Home,Tools
315,Paddle bit set (Irwin Tools),Home,Tools
316,Paint brushes (Purdy),Home,Tools
317,Paint sprayer (Graco),Home,Tools
318,Phillips screwdriver (Klein Tools),Home,Tools
319,Pipe wrench (Ridgid),Home,Tools
320,Plunge router (Bosch),Home,Tools
321,Pocket knife (Buck Knives),Home,Tools
322,Polisher (Meguiar's),Home,Tools
323,Pry bar (Stanley),Home,Tools
324,Quick release ratchet (Craftsman),Home,Tools
325,Random orbit sander (Bosch),Home,Tools
326,Reciprocating saw (Milwaukee),Home,Tools
327,Retaining ring pliers (Knipex),Home,Tools
328,Rivet gun (Astro Pneumatic Tool),Home,Tools
329,Rolling toolbox (Husky),Home,Tools
330,Rotary tool (Dremel),Home,Tools
331,Rubber mallet (Tekton),Home,Tools
332,Safety glasses (3M),Home,Tools
333,Safety gloves (Mechanix Wear),Home,Tools
334,Sander (Porter-Cable),Home,Tools
335,Screw extractor set (Irwin Tools),Home,Tools
336,Screwdriver set (Craftsman),Home,Tools
337,Shop vacuum (Ridgid),Home,Tools
338,Side cutters (Knipex),Home,Tools
339,Socket set (Snap-On),Home,Tools
340,Soldering iron (Weller),Home,Tools
341,Staple gun (Arrow),Home,Tools
342,Steel ruler (Starrett),Home,Tools
343,Stud finder (Zircon),Home,Tools
344,Tap and die set (Irwin Tools),Home,Tools
345,Tape measure (Stanley),Home,Tools
346,Torque wrench (Crafts,Home,Tools
999,IKEA,Home,Furniture_Appliances
1000,Rooms To Go,Home,Furniture_Appliances
1001,Ethan Allen,Home,Furniture_Appliances
1002,Williams-Sonoma,Home,Furniture_Appliances
1003,La-Z-Boy,Home,Furniture_Appliances
1004,Havertys,Home,Furniture_Appliances
1005,Bassett Furniture,Home,Furniture_Appliances
1006,Restoration Hardware,Home,Furniture_Appliances
1007,Bob's Discount Furniture,Home,Furniture_Appliances
1008,American Furniture Warehouse,Home,Furniture_Appliances
1009,Raymour & Flanigan,Home,Furniture_Appliances
1010,Badcock Home Furniture &more,Home,Furniture_Appliances
1011,Bassett Furniture Direct,Home,Furniture_Appliances
1012,Art Van Furniture,Home,Furniture_Appliances
1013,Nebraska Furniture Mart,Home,Furniture_Appliances
1014,City Furniture,Home,Furniture_Appliances
1015,Jordan's Furniture,Home,Furniture_Appliances
1016,Mathis Brothers Furniture,Home,Furniture_Appliances
1017,RC Willey,Home,Furniture_Appliances
1018,Ashley Furniture Outlet,Home,Furniture_Appliances
1019,Ashley Homestore Select,Home,Furniture_Appliances
1020,Ashley Furniture Industries,Home,Furniture_Appliances
1021,GE Profile PFE28KYNFS French Door Refrigerator,Home,Furniture_Appliances
1022,LG LRFXS30796D French Door Refrigerator,Home,Furniture_Appliances
1023,Samsung RF28R7351SG French Door Refrigerator,Home,Furniture_Appliances
1024,LG LTCS24223S Top-Freezer Refrigerator,Home,Furniture_Appliances
1025,Whirlpool WRX735SDHZ French Door Refrigerator,Home,Furniture_Appliances
1026,Samsung RF23M8570SG French Door Refrigerator,Home,Furniture_Appliances
1027,GE GNE25JMKES French Door Refrigerator,Home,Furniture_Appliances
1028,LG LFXS28968S French Door Refrigerator,Home,Furniture_Appliances
1029,Frigidaire FGSC2335TF Side-by-Side Refrigerator,Home,Furniture_Appliances
1030,Samsung RT18M6215SG Top-Freezer Refrigerator,Home,Furniture_Appliances
1031,GE GSE25HMHES Side-by-Side Refrigerator,Home,Furniture_Appliances
1032,LG LFXS30796S French Door Refrigerator,Home,Furniture_Appliances
1033,Kenmore 71215 French Door Refrigerator,Home,Furniture_Appliances
1034,GE Profile PVD28BYNFS French Door Refrigerator,Home,Furniture_Appliances
1035,Whirlpool WRF535SWHZ French Door Refrigerator,Home,Furniture_Appliances
1036,LG LMXS30776S French Door Refrigerator,Home,Furniture_Appliances
1037,Samsung RS25J500DSR Side-by-Side Refrigerator,Home,Furniture_Appliances
1038,Kenmore 50023 Side-by-Side Refrigerator,Home,Furniture_Appliances
1039,Frigidaire FFSS2615TS Side-by-Side Refrigerator,Home,Furniture_Appliances
1040,GE GNE27JSMSS French Door Refrigerator,Home,Furniture_Appliances
1041,LG LFXC22526S French Door Refrigerator,Home,Furniture_Appliances
1042,Samsung RF18HFENBSR French Door Refrigerator,Home,Furniture_Appliances
1043,Whirlpool WRS325SDHZ Side-by-Side Refrigerator,Home,Furniture_Appliances
1044,LG LMXS27626S French Door Refrigerator,Home,Furniture_Appliances
1045,GE GFE26JSMSS French Door Refrigerator,Home,Furniture_Appliances
1046,Kenmore 73025 French Door Refrigerator,Home,Furniture_Appliances
1047,Samsung RF23HCEDBSR French Door Refrigerator,Home,Furniture_Appliances
1048,LG LMXS28626S French Door Refrigerator,Home,Furniture_Appliances
1049,Whirlpool WRF555SDHV French Door Refrigerator,Home,Furniture_Appliances
1050,Samsung RF28JBEDBSG French Door Refrigerator,Home,Furniture_Appliances
1051,GE GDE21EMKES Bottom-Freezer Refrigerator,Home,Furniture_Appliances
1052,LG LMXC23796S French Door Refrigerator,Home,Furniture_Appliances
1053,Whirlpool WRS571CIHZ Side-by-Side Refrigerator,Home,Furniture_Appliances
1054,Samsung RF28K9380SR French Door Refrigerator,Home,Furniture_Appliances
1055,LG LMXS30776D French Door Refrigerator,Home,Furniture_Appliances
1056,Frigidaire FFHD2250TS French Door Refrigerator,Home,Furniture_Appliances
1057,Kenmore Elite 72483 French Door Refrigerator,Home,Furniture_Appliances
1058,GE GNE29GSKSS French Door Refrigerator,Home,Furniture_Appliances
1059,LG LFXS32726S French Door Refrigerator,Home,Furniture_Appliances
1060,Samsung RF28R7201SR French Door Refrigerator,Home,Furniture_Appliances
1061,Whirlpool WRF757SDHZ French Door Refrigerator,Home,Furniture_Appliances
1062,LG LSXS26366D Side-by-Side Refrigerator,Home,Furniture_Appliances
1063,GE GFE26GSKSS French Door Refrigerator,Home,Furniture_Appliances
1064,Samsung RF23J9011SR French Door Refrigerator,Home,Furniture_Appliances
1065,Whirlpool WRF992FIFM French Door Refrigerator,Home,Furniture_Appliances
1066,Kenmore 70343 French Door Refrigerator,Home,Furniture_Appliances
1067,LG LFXS28566S French Door Refrigerator,Home,Furniture_Appliances
1068,Frigidaire FGHB2868TF French Door Refrigerator,Home,Furniture_Appliances
1069,Samsung RF28HFEDBSR French Door Refrigerator,Home,Furniture_Appliances
2458,Ashley Furniture Signature Design - 12 Inch Chime Express Hybrid Innerspring Mattress - Bed in a Box - Queen - White,Home,Furniture_Appliances
2459,"DHP Emily Futon Sofa Bed, Modern Convertible Couch With Chrome Legs Quickly Converts into a Bed, Black Faux Leather",Home,Furniture_Appliances
2460,Linenspa 8 Inch Memory Foam and Innerspring Hybrid Mattress - Medium-Firm Feel - Twin,Home,Furniture_Appliances
2461,"Zinus 14 Inch SmartBase Mattress Foundation / Platform Bed Frame / Box Spring Replacement / Quiet Noise-Free / Maximum Under-bed Storage, Twin",Home,Furniture_Appliances
2462,"Walker Edison Furniture Company Modern Farmhouse Buffet Sideboard Kitchen Dining Storage Cabinet Living Room, 32 Inch, Reclaimed Barnwood Brown",Home,Furniture_Appliances
2463,"WE Furniture Minimal Farmhouse Wood Universal Stand for TV's up to 64"" Flat Screen Living Room Storage Shelves Entertainment Center, 58 Inch, Espresso",Home,Furniture_Appliances
2464,"Modway Aveline 6"" Gel Infused Memory Foam Twin Mattress With CertiPUR-US Certified Foam",Home,Furniture_Appliances
2465,"Winsome Halifax Storage/Organization, 5 drawer, White",Home,Furniture_Appliances
2466,"Zinus Armita 9 Inch Smart Box Spring / Mattress Foundation / Built-to-Last Metal Structure / High Profile / Easy Assembly, Queen",Home,Furniture_Appliances
2467,"Best Choice Products 5-Piece Metal and Wood Indoor Modern Rectangular Dining Table Furniture Set for Kitchen, Dining Room, Dinette, Breakfast Nook w/ 4 Chairs - Brown",Home,Furniture_Appliances
2468,"Serta RNE-3S-CC-SET Rane Collection Convertible Sofa, L66.1 x W33.1 x H29.5, Charcoal",Home,Furniture_Appliances
2469,"Amazon Basics Foldable, 14"" Metal Platform Bed Frame with Tool-Free Assembly, No Box Spring Needed - Full",Home,Furniture_Appliances
2470,"VASAGLE Industrial Storage Cabinet, Bathroom Floor Standing Cabinet, Utility Storage Shelf, Living Room, Bedroom, Hallway, Kitchen, Rustic Brown ULSC74BX",Home,Furniture_Appliances
2471,"Zinus 10 Inch Gel-Infused Green Tea Memory Foam Mattress / Cooling Gel Foam / Pressure Relieving / CertiPUR-US Certified / Bed-in-a-Box, Full",Home,Furniture_Appliances
2472,"WE Furniture Modern Farmhouse Buffet Entryway Bar Cabinet Storage, 32 Inch, Grey Wash",Home,Furniture_Appliances
2473,"Zinus 10 Inch Support Plus Pocket Spring Hybrid Mattress / Extra Firm Feel / More Coils for Durable Support / Pocket Innersprings for Motion Isolation / Bed-in-a-Box, Full",Home,Furniture_Appliances
2474,"Amazon Basics Classic Solid Wood Saddle-Seat Kitchen Counter Stool with Foot Plate 24 Inch, Black, Set of 2",Home,Furniture_Appliances
2475,Zinus Lottie Upholstered Platform Grey Bed Frame | Queen,Home,Furniture_Appliances
2476,"Zinus Joseph 14 Inch Metal Platforma Bed Frame / Mattress Foundation / Wood Slat Support / No Box Spring Needed / Sturdy Steel Structure, Queen",Home,Furniture_Appliances
2477,"Amazon Basics Classic Solid Wood Saddle-Seat Counter Stool with Foot Plate 29 Inch, Walnut, Set of 2",Home,Furniture_Appliances
2478,"Walker Edison Furniture Company Modern Farmhouse Buffet Entryway Bar Cabinet Storage, 32 Inch, Walnut Brown",Home,Furniture_Appliances
2479,"Zinus Moiz 14 Inch Wood Platform Bed / No Box Spring Needed / Wood Slat Support / Natural Finish, Queen",Home,Furniture_Appliances
2480,"Best Choice Products 4-Piece Wicker Patio Conversation Furniture Set w/ 4 Seats, Tempered Glass Top Table, 3 Sofas, Weather-Resistant Cushions - Brown",Home,Furniture_Appliances
2481,Home Styles White Buffet with Hutch,Home,Furniture_Appliances
2482,"Zinus Shalini Upholstered Diamond Stitched Platform Bed / Mattress Foundation / No Box Spring Needed / Wood Slat Support / Dark Grey, Queen",Home,Furniture_Appliances
2483,"Amazon Basics Classic Solid Wood Saddle-Seat Kitchen Counter Stool with Foot Plate 24 Inch, Espresso, Set of 2",Home,Furniture_Appliances
2484,"Best Choice Products 3-Piece Wooden Round Table & Chair Set for Kitchen, Dining",Home,Furniture_Appliances
2485,"Zinus Arnav Modern Studio 10 Inch Platform 2000H Metal Bed Frame / Mattress Foundation / Wooden Slat Support / With Headboard / Good Design Award Winner, Queen",Home,Furniture_Appliances
2486,Signature Design by Ashley - Realyn Dining Room Server - 2 Cabinets and 4 Drawers - Antique White,Home,Furniture_Appliances
2487,"Zinus Korey 14 Inch Platform Metal Bed Frame with Upholstered Headboard / Mattress Foundation / Wood Slat Support, Full",Home,Furniture_Appliances
2488,Christopher Knight Home Harington Outdoor 7 Piece Dining Set with Brown Patina Finish,Home,Furniture_Appliances
2489,"Sauder 419188 Storage Cabinet, L: 29.61"" x W: 16.10"" x H: 71.10"", Highland Oak Finish",Home,Furniture_Appliances
2490,"Zinus Dachelle Upholstered Platform Bed Frame / Mattress Foundation / Wood Slat Support / No Box Spring Needed / Easy Assembly, Queen",Home,Furniture_Appliances
2491,"Winsome Wood Halifax Storage/Organization, Black",Home,Furniture_Appliances
2492,"WE Furniture Modern Farmhouse Buffet Entryway Bar Cabinet Storage, 32 Inch, Brown Reclaimed Barnwood",Home,Furniture_Appliances
2493,"Best Choice Products 5-Piece Metal and Wood Indoor Modern Rectangular Dining Table Furniture Set for Kitchen, Dining Room, Dinette, Breakfast Nook w/ 4 Chairs - Brown/Black",Home,Furniture_Appliances
2494,Signature Design by Ashley - Tyler Creek Dining Room Server - Black/Gray,Home,Furniture_Appliances
2495,"Zinus Mia Modern Studio 14 Inch Platform 1500H Metal Bed Frame / Mattress Foundation / Wooden Slat Support / With Headboard / Good Design Award Winner, Queen",Home,Furniture_Appliances
2496,Christopher Knight Home Crested Bay Patio Furniture | Outdoor Grey Aluminum Sofa Couch with Dark Grey Water Resistant Cushions,Home,Furniture_Appliances
2497,Ashley Furniture Signature Design - Leahlyn Dining Room Server - Old World Traditional Design - Solid Pine Wood - Dark Brown,Home,Furniture_Appliances
2498,"Zinus Upholstered Platform Bed, Queen",Home,Furniture_Appliances
2499,Home Styles Nantucket White Pantry,Home,Furniture_Appliances
2500,"Christopher Knight Home Crested Bay Patio Furniture | Outdoor Wicker Coffee Table with Teak Finish Water Resistant Cushion, Brown",Home,Furniture_Appliances
2501,"Amazon Brand � Rivet Revolve Modern Upholstered Sofa with Reversible Sectional Chaise, 80""W, Denim Blue",Home,Furniture_Appliances
2502,Signature Design by Ashley - Lacey Dining Room Server - Rustic - Medium Brown Finish,Home,Furniture_Appliances
2503,"Zinus Gene 16 Inch SmartBase Deluxe Mattress Foundation / 2 Extra Inches high for Under-bed Storage / Platform Bed Frame / Box Spring Replacement / Strong / Sturdy / Quiet Noise-Free, Queen",Home,Furniture_Appliances
2504,"Sauder 416797 Harbor View Storage Cabinet, L: 35.43"" x W: 16.73"" x H: 61.02"", Antiqued White finish",Home,Furniture_Appliances
2505,"Zinus Trisha 7 Inch Platforma Bed Frame with Headboard / Mattress Foundation / Box Spring Optional / Wood Slat Support, Queen",Home,Furniture_Appliances
2506,Home Styles Nantucket Natural Pantry,Home,Furniture_Appliances
2507,Signature Design by Ashley - Sommerford Dining Room Server - Brown,Home,Furniture_Appliances
2508,"Zinus Gerard Deluxe Faux Leather Upholstered Platform Bed / Mattress Foundation / Easy Assembly / Strong Wood Slat Support, Queen",Home,Furniture_Appliances
2509,"Atlantic Furniture Nantucket Murphy Bed Chest with Charging Station & Mattress, Queen, White",Home,Furniture_Appliances
2510,Signature Design by Ashley - Sommerford Dining Room Server - Casual - Grayish Brown Finish,Home,Furniture_Appliances
2511,"Zinus Shalini Upholstered Platform Bed / Mattress Foundation / No Box Spring Needed / Wood Slat Support / Sage Grey, Queen",Home,Furniture_Appliances
2512,"Best Choice Products 5-Piece Dining Table Set for Kitchen, Dining Room w/ 4 Faux Leather Chairs, Dinette - Brown",Home,Furniture_Appliances
2513,"VASAGLE LOWELL Storage Cabinet, Cupboard, Multipurpose Cabinet, 3 Open Shelves and Closed Compartments, for Kitchen, Living Room, Bedroom, Industrial Style, Rustic Brown and Black ULSC",Home,Furniture_Appliances
2917,Black & Decker LDX120C 20V MAX Cordless Drill/Driver,Home,Tools
2918,Dewalt DCD771C2 20V MAX Cordless Drill/Driver,Home,Tools
2919,Makita XFD131 18V LXT Cordless Drill/Driver Kit,Home,Tools
2920,Bosch PS31-2A 12V MAX Cordless Drill/Driver Kit,Home,Tools
2921,Ryobi P208 One+ 18V Lithium Ion Drill/Driver,Home,Tools
2922,Milwaukee 2804-20 M18 FUEL Cordless Drill/Driver,Home,Tools
2923,Craftsman CMCD701C2 V20 Cordless Drill/Driver Kit,Home,Tools
2924,Porter-Cable PCCK604L2 20V MAX Cordless Drill/Driver Kit,Home,Tools
2925,Ridgid R86008K 18V Cordless Drill/Driver,Home,Tools
2926,Hitachi DS18DGL 18V Cordless Drill/Driver,Home,Tools
2927,Stanley STMT71648 40-Piece Socket Set,Home,Tools
2928,Dewalt DWMT81534 205-Piece Mechanics Tool Set,Home,Tools
2929,Craftsman CMMT12038 21-Piece Socket Set,Home,Tools
2930,Kobalt 227-Piece Standard/Metric Mechanics Tool Set,Home,Tools
2931,Stanley STMT73795 210-Piece Mixed Tool Set,Home,Tools
2932,GearWrench 80550P 56-Piece Socket Set,Home,Tools
2933,Craftsman CMMT12039 23-Piece Socket Set,Home,Tools
2934,Dewalt DWMT81522 181-Piece Mechanics Tool Set,Home,Tools
2935,Husky H100MTS 100-Piece Mechanics Tool Set,Home,Tools
2936,Craftsman CMMT12011 104-Piece Mechanics Tool Set,Home,Tools
2937,Dewalt DWE7491RS 10-Inch Jobsite Table Saw,Home,Tools
2938,Bosch 4100XC-10 10-Inch Table Saw,Home,Tools
2939,Skil TS6307-00 10-Inch Table Saw with Folding Stand,Home,Tools
2940,Dewalt DWS779 12-Inch Sliding Compound Miter Saw,Home,Tools
2941,Bosch CM10GD 10-Inch Dual-Bevel Glide Miter Saw,Home,Tools
2942,Makita LS1019L 10-Inch Dual-Bevel Sliding Compound Miter Saw,Home,Tools
2943,Dewalt DWS780 12-Inch Double Bevel Sliding Compound Miter Saw,Home,Tools
2944,Craftsman CMCS714M1 7.25-Inch Sliding Compound Miter Saw,Home,Tools
2945,Ryobi TSS103 10-Inch Sliding Compound Miter Saw,Home,Tools
2946,Dewalt DWE305 12-Amp Corded Reciprocating Saw,Home,Tools
2947,Bosch CRS180BL 18V Cordless Reciprocating Saw,Home,Tools
2948,Makita JR3050T 11-Amp Corded Reciprocating Saw,Home,Tools
2949,Dewalt DCS367B 20V MAX Cordless Reciprocating Saw,Home,Tools
2950,Milwaukee 2720-20 M18 FUEL Cordless Reciprocating Saw,Home,Tools
2951,Ryobi P519 18V Cordless Reciprocating Saw,Home,Tools
2952,Craftsman CMCS300B 20V Cordless Reciprocating Saw,Home,Tools
2953,Porter-Cable PCE360 7.5-Amp Corded Reciprocating Saw,Home,Tools
2954,Ridgid R3031 Corded Reciprocating Saw,Home,Tools
2955,Hitachi CR13V2 10-Amp Corded Reciprocating Saw,Home,Tools
2956,Bosch ROS20VSC Random Orbit Sander,Home,Tools
2957,Dewalt DWE6423K Variable Speed Random Orbit Sander,Home,Tools
2958,Makita BO5041K Variable Speed Random Orbit Sander,Home,Tools
2959,Black & Decker BDERO100 Random Orbit Sander,Home,Tools
2960,Porter-Cable 382 5-Inch Random Orbit Sander,Home,Tools
2961,Craftsman CMEW231 5-Inch Random Orbit Sander,Home,Tools
2962,Bosch ROS10 5-Inch Random Orbit Sander,Home,Tools
2963,Makita BO5030K 5-Inch Random Orbit Sander,Home,Tools
2964,Ryobi RS290G 2.6-Amp 5-Inch Random Orbit Sander,Home,Tools
2965,Ridgid R26011 6.5-Amp 5-Inch Random Orbit Sander,Home,Tools
2966,Skil 7492-02 5-Inch Random Orbit Sander,Home,Tools
2967,Dewalt DWE6421K 5-Inch Random Orbit Sander Kit,Home,Tools
2968,Bosch IDH182-02 18V Cordless Impact Driver,Home,Tools
2969,Dewalt DCF885C1 20V MAX Cordless Impact Driver,Home,Tools
2970,Makita XDT131 18V LXT Cordless Impact Driver Kit,Home,Tools
2971,Milwaukee 2753-20 M18 FUEL Cordless Impact Driver,Home,Tools
2972,Ryobi P237 18V ONE+ Cordless Impact Driver,Home,Tools
