,Description,Category,Sub_Category
1234,MSI MPG B550 Gaming Edge WiFi AX Motherboard,Electronics,Computer
1235,Corsair Vengeance LPX 64GB DDR4-3200 RAM,Electronics,Computer
1236,Western Digital Black SN750 2TB SSD,Electronics,Computer
1237,Noctua NH-U12A CPU Cooler,Electronics,Computer
1238,ASUS Prime B550M-A/CSM Motherboard,Electronics,Computer
1239,Patriot Viper Steel 32GB DDR4-3200 RAM,Electronics,Computer
1240,Crucial P2 1TB SSD,Electronics,Computer
1241,NZXT Kraken X53 RGB Liquid CPU Cooler,Electronics,Computer
1242,ASRock X570 Phantom Gaming 4S Motherboard,Electronics,Computer
1243,HyperX Predator RGB 32GB DDR4-3200 RAM,Electronics,Computer
1244,Samsung 970 EVO 2TB SSD,Electronics,Computer
1245,Cooler Master MasterLiquid ML240L RGB Liquid CPU Cooler,Electronics,Computer
1246,Gigabyte B550 AORUS Master Motherboard,Electronics,Computer
1247,G.SKILL Trident Z RGB 32GB DDR4-3200 RAM,Electronics,Computer
1248,Seagate Barracuda 120 1TB SSD,Electronics,Computer
1249,be quiet! Shadow Rock 3 CPU Cooler,Electronics,Computer
1250,ASUS ROG Strix X570-F Gaming Motherboard,Electronics,Computer
1251,Corsair Dominator Platinum RGB 64GB DDR4-3200 RAM,Electronics,Computer
1252,Crucial MX500 2TB SSD,Electronics,Computer
1253,NZXT Kraken X63 RGB Liquid CPU Cooler,Electronics,Computer
1254,MSI MAG B550 Tomahawk Motherboard,Electronics,Computer
1255,Corsair Vengeance RGB Pro 64GB DDR4-3200 RAM,Electronics,Computer
1256,Western Digital Black SN850 2TB SSD,Electronics,Computer
1257,Noctua NH-L9x65 Chromax.Black CPU Cooler,Electronics,Computer
1258,ASRock B450M Steel Legend Motherboard,Electronics,Computer
1259,Kingston KC600 1TB SSD,Electronics,Computer
1260,Cooler Master MasterAir MA620M CPU Cooler,Electronics,Computer
1261,G.SKILL Ripjaws V 64GB DDR4-3200 RAM,Electronics,Computer
1262,Corsair MP510 1TB SSD,Electronics,Computer
1263,ASUS TUF Gaming B550M-PLUS Motherboard,Electronics,Computer
1264,HyperX Fury RGB 32GB DDR4-3200 RAM,Electronics,Computer
1265,Samsung 970 EVO Plus 500GB SSD,Electronics,Computer
1266,NZXT Kraken X62 Liquid CPU Cooler,Electronics,Computer
1267,Gigabyte B550 AORUS Pro AC Motherboard,Electronics,Computer
1268,Patriot Viper 4 Blackout 32GB DDR4-3200 RAM,Electronics,Computer
1269,Crucial P1 2TB SSD,Electronics,Computer
1270,be quiet! Pure Rock Slim 2 CPU Cooler,Electronics,Computer
1271,MSI MAG B550M Mortar Motherboard,Electronics,Computer
1272,ASUS Prime B450-Plus Motherboard,Electronics,Computer
1273,Corsair Dominator Platinum RGB 128GB DDR4-3200 RAM,Electronics,Computer
1274,Western Digital Blue SN550 250GB SSD,Electronics,Computer
1275,Noctua NH-U14S CPU Cooler,Electronics,Computer
1276,ASRock B550M-ITX/ac Motherboard,Electronics,Computer
1277,Kingston HyperX Fury 32GB DDR4-3200 RAM,Electronics,Computer
1278,Samsung 970 PRO 256GB SSD,Electronics,Computer
1279,Cooler Master MasterLiquid ML120L RGB Liquid CPU Cooler,Electronics,Computer
1280,G.SKILL Trident Z RGB 64GB DDR4-3200 RAM,Electronics,Computer
1281,Seagate Barracuda 120 2TB SSD,Electronics,Computer
1282,ASUS Prime X570-P Motherboard,Electronics,Computer
1283,Corsair Force MP600 1TB SSD,Electronics,Computer
1284,NZXT Kraken Z53 Liquid CPU Cooler,Electronics,Computer
1285,MSI B450 Tomahawk MAX Motherboard,Electronics,Computer
1286,Patriot Viper Steel 64GB DDR4-3200 RAM,Electronics,Computer
1287,Kingston A2000 2TB SSD,Electronics,Computer
1288,Cooler Master MasterAir G100M CPU Cooler,Electronics,Computer
1289,ASRock B450M Pro4 Motherboard,Electronics,Computer
1290,Crucial Ballistix MAX RGB 32GB DDR4-3200 RAM,Electronics,Computer
1291,Samsung 970 EVO 500GB SSD,Electronics,Computer
1292,ASUS ROG Strix B450-F Gaming Motherboard,Electronics,Computer
1293,Corsair Vengeance LPX 128GB DDR4-3200 RAM,Electronics,Computer
1294,Western Digital Black SN750 4TB SSD,Electronics,Computer
1295,Noctua NH-U9S CPU Cooler,Electronics,Computer
1296,Gigabyte B450 AORUS M Motherboard,Electronics,Computer
1297,Kingston KC600 2TB SSD,Electronics,Computer
1298,be quiet! Dark Rock TF CPU Cooler,Electronics,Computer
1299,MSI MPG B550I Gaming Edge WiFi AX Motherboard,Electronics,Computer
1300,G.SKILL Ripjaws V 128GB DDR4-3200 RAM,Electronics,Computer
1301,Corsair MP510 2TB SSD,Electronics,Computer
1302,ASUS TUF Gaming X570-PLUS Motherboard,Electronics,Computer
1303,HyperX Fury RGB 64GB DDR4-3200 RAM,Electronics,Computer
1304,Samsung 970 EVO Plus 250GB SSD,Electronics,Computer
1305,NZXT Kraken M22 Liquid CPU Cooler,Electronics,Computer
1306,ASRock B450M-HDV R4.0 Motherboard,Electronics,Computer
1307,Corsair Dominator Platinum RGB 256GB DDR4-3200 RAM,Electronics,Computer
1308,Crucial MX500 500GB SSD,Electronics,Computer
1309,Cooler Master MasterLiquid ML360R ARGB Liquid CPU Cooler,Electronics,Computer
1310,MSI MPG X570 Gaming Plus Motherboard,Electronics,Computer
1311,Corsair Vengeance RGB Pro 128GB DDR4-3200 RAM,Electronics,Computer
1312,Western Digital Blue SN550 4TB SSD,Electronics,Computer
1313,Noctua NH-L12S CPU Cooler,Electronics,Computer
1314,ASRock Fatal1ty B450 Gaming-ITX/ac Motherboard,Electronics,Computer
1315,Kingston HyperX Fury 64GB DDR4-3200 RAM,Electronics,Computer
1316,Samsung 970 PRO 2TB SSD,Electronics,Computer
1317,Cooler Master MasterLiquid ML240P Mirage Liquid CPU Cooler,Electronics,Computer
1318,G.SKILL Trident Z RGB 128GB DDR4-3200 RAM,Electronics,Computer
1319,Seagate Barracuda 510 1TB SSD,Electronics,Computer
1320,ASUS Prime X570-PRO/CSM Motherboard,Electronics,Computer
1321,Corsair Force MP600 2TB SSD,Electronics,Computer
1322,NZXT Kraken M12 Liquid CPU Cooler,Electronics,Computer
1323,MSI B450-A PRO MAX Motherboard,Electronics,Computer
1324,Patriot Viper 4 Blackout 64GB DDR4-3200 RAM,Electronics,Computer
1325,Crucial P2 2TB SSD,Electronics,Computer
1326,be quiet! Shadow Rock Slim 2 CPU Cooler,Electronics,Computer
1327,ASRock B450 Steel Legend Motherboard,Electronics,Computer
1328,Kingston KC2500 1TB SSD,Electronics,Computer
1329,Cooler Master MasterAir MA410P CPU Cooler,Electronics,Computer
1330,G.SKILL Ripjaws V 256GB DDR4-3200 RAM,Electronics,Computer
1331,Corsair MP600 CORE 1TB SSD,Electronics,Computer
1332,ASUS ROG Strix B450-E Gaming Motherboard,Electronics,Computer
1333,HyperX Predator RGB 64GB DDR4-3200 RAM,Electronics,Computer
1334,Samsung 970 EVO 250GB SSD,Electronics,Computer
1335,NZXT Kraken M22 RGB Liquid CPU Cooler,Electronics,Computer
1336,MSI B450M PRO-VDH MAX Motherboard,Electronics,Computer
1337,Corsair Vengeance RGB Pro 256GB DDR4-3200 RAM,Electronics,Computer
1338,Western Digital Black SN750 500GB SSD,Electronics,Computer
1339,Noctua NH-U12S SE-AM4 CPU Cooler,Electronics,Computer
1340,ASRock B450M-HDV Motherboard,Electronics,Computer
1341,Kingston HyperX Fury 128GB DDR4-3200 RAM,Electronics,Computer
1342,Crucial BX500 2TB SSD,Electronics,Computer
1343,Cooler Master MasterLiquid ML120,Electronics,Computer
1344,Apple Silicone Case for iPhone 12,Electronics,Phone
1345,Samsung Galaxy S21 Clear Case,Electronics,Phone
1346,Anker PowerCore 10000 Portable Charger,Electronics,Phone
1347,Belkin Boost Charge 10W Wireless Charging Pad,Electronics,Phone
1348,Spigen Tough Armor Case for iPhone 11,Electronics,Phone
1349,OtterBox Defender Series Case for iPhone SE (2nd generation),Electronics,Phone
1350,Google Pixel 5 Fabric Case,Electronics,Phone
1351,Mophie Powerstation XXL Portable Charger,Electronics,Phone
1352,Incipio DualPro Case for Samsung Galaxy S20,Electronics,Phone
1353,Samsung Galaxy S20 Plus LED Wallet Cover,Electronics,Phone
1354,Apple Leather Case for iPhone 11 Pro Max,Electronics,Phone
1355,Anker PowerCore+ 26800mAh Portable Charger,Electronics,Phone
1356,Belkin Boost Up Wireless Charging Dock,Electronics,Phone
1357,Spigen Liquid Crystal Case for iPhone SE (2nd generation),Electronics,Phone
1358,OtterBox Commuter Series Case for iPhone 12 Pro Max,Electronics,Phone
1359,Google Pixel 4a Fabric Case,Electronics,Phone
1360,Mophie Juice Pack Air for iPhone SE (2nd generation),Electronics,Phone
1361,Incipio Grip Case for Samsung Galaxy S20 Ultra,Electronics,Phone
1362,Samsung Galaxy S21 Ultra Clear Case,Electronics,Phone
1363,Apple Smart Battery Case for iPhone 11,Electronics,Phone
1364,Anker PowerWave Wireless Charging Pad,Electronics,Phone
1365,Belkin Boost Up Wireless Charging Stand,Electronics,Phone
1366,Spigen Neo Hybrid Case for iPhone 11 Pro,Electronics,Phone
1367,OtterBox Symmetry Series Case for iPhone XR,Electronics,Phone
1368,Google Pixel Buds (2nd generation),Electronics,Phone
1369,Mophie Powerstation Wireless External Battery Charger,Electronics,Phone
1370,Incipio Feather Case for Samsung Galaxy S20 FE,Electronics,Phone
1371,Samsung Galaxy S20 Plus S-View Flip Cover,Electronics,Phone
1372,Apple Leather Folio Case for iPhone 12 Pro Max,Electronics,Phone
1373,Anker PowerCore II 10000mAh Portable Charger,Electronics,Phone
1374,Belkin Boost Up Wireless Charging Pad 5W,Electronics,Phone
1375,Spigen Rugged Armor Case for iPhone SE (2nd generation),Electronics,Phone
1376,OtterBox Defender Series Case for iPhone 12,Electronics,Phone
1377,Google Pixel 4a 5G Fabric Case,Electronics,Phone
1378,Mophie Juice Pack Access for iPhone 11,Electronics,Phone
1379,Incipio DualPro Case for Samsung Galaxy S20 FE,Electronics,Phone
1380,Samsung Galaxy Note 20 LED Wallet Cover,Electronics,Phone
1381,Apple Silicone Case for iPhone 11,Electronics,Phone
1382,Anker PowerCore Lite 10000mAh Portable Charger,Electronics,Phone
1383,Belkin Boost Up Charge 3-Port USB-A Wall Charger,Electronics,Phone
1384,Spigen Ultra Hybrid Case for iPhone 12,Electronics,Phone
1385,OtterBox Symmetry Series Case for iPhone 12 Mini,Electronics,Phone
1386,Google Pixel 3a Fabric Case,Electronics,Phone
1387,Mophie Powerstation Plus XL Portable Charger,Electronics,Phone
1388,Incipio Grip Case for Samsung Galaxy Note 20,Electronics,Phone
1389,Samsung Galaxy S20 Ultra LED Wallet Cover,Electronics,Phone
1390,Apple Leather Case for iPhone 11 Pro,Electronics,Phone
1391,Anker PowerCore Speed 10000mAh Portable Charger,Electronics,Phone
1392,Belkin Boost Charge Wireless Charging Vent Mount,Electronics,Phone
1393,Spigen Tough Armor Case for iPhone SE (2nd generation),Electronics,Phone
1394,OtterBox Commuter Series Case for iPhone 11 Pro Max,Electronics,Phone
1395,Google Pixel Stand,Electronics,Phone
1396,Mophie Juice Pack for Samsung Galaxy S20 Ultra,Electronics,Phone
1397,Incipio DualPro Case for Samsung Galaxy S20 Ultra,Electronics,Phone
1398,Samsung Galaxy S20 Clear View Cover,Electronics,Phone
1399,Apple Smart Battery Case for iPhone 11 Pro,Electronics,Phone
1400,Anker PowerCore Slim 10000mAh Portable Charger,Electronics,Phone
1401,Belkin Boost Up Charge 2-Port USB-A Wall Charger,Electronics,Phone
1402,Spigen Ultra Hybrid S Case for iPhone 12 Pro Max,Electronics,Phone
1403,OtterBox Symmetry Series Case for iPhone 12 Pro,Electronics,Phone
1404,Google Pixel 3 Fabric Case,Electronics,Phone
1405,Mophie Powerstation Plus Portable Charger,Electronics,Phone
1406,Incipio Grip Case for Samsung Galaxy S21 Ultra,Electronics,Phone
1407,Samsung Galaxy S20 Ultra Clear Cover,Electronics,Phone
1408,Apple Leather Case with MagSafe for iPhone 12,Electronics,Phone
1409,Anker PowerCore 5000mAh Portable Charger,Electronics,Phone
1410,Belkin Boost Charge Power Bank 10K with Lightning Connector,Electronics,Phone
1411,Spigen Liquid Air Armor Case for iPhone 12,Electronics,Phone
1412,OtterBox Defender Series Case for iPhone 11,Electronics,Phone
1413,Google Pixel 4a 5G Case,Electronics,Phone
1414,Mophie Juice Pack Access for iPhone 11 Pro Max,Electronics,Phone
1415,Incipio DualPro Case for Samsung Galaxy Note 20 Ultra,Electronics,Phone
1416,Samsung Galaxy S21 Silicone Cover,Electronics,Phone
1417,Apple Silicone Case with MagSafe for iPhone 12,Electronics,Phone
1418,Anker PowerCore Essential 20000mAh Portable Charger,Electronics,Phone
1419,Belkin Boost Up Wireless Charging Dock for iPhone + Apple Watch,Electronics,Phone
1420,Spigen Ultra Hybrid Case for iPhone SE (2nd generation),Electronics,Phone
1421,OtterBox Symmetry Series Case for iPhone 11 Pro,Electronics,Phone
1422,Google Pixel 3a XL Fabric Case,Electronics,Phone
1423,Mophie Juice Pack for Samsung Galaxy S21 Ultra,Electronics,Phone
1424,Incipio Grip Case for Samsung Galaxy Note 20 Ultra,Electronics,Phone
1425,Samsung Galaxy S20 Silicone Cover,Electronics,Phone
1426,Apple Clear Case for iPhone 12 Pro Max,Electronics,Phone
1427,Anker PowerCore Fusion 5000mAh Portable Charger and Wall Charger,Electronics,Phone
1428,Belkin Boost Up Wireless Charging Pad 7.5W,Electronics,Phone
1429,Spigen Neo Hybrid S Case for iPhone 12 Pro,Electronics,Phone
1430,OtterBox Defender Series Case for iPhone SE (2nd generation),Electronics,Phone
1431,Google Pixel 4a Case,Electronics,Phone
1432,Mophie Powerstation Mini External Battery Charger,Electronics,Phone
1433,Incipio DualPro Case for Samsung Galaxy Note 20,Electronics,Phone
1434,Samsung Galaxy S20 Ultra Leather Cover,Electronics,Phone
1435,Apple Leather Wallet with MagSafe for iPhone 12,Electronics,Phone
1436,Anker PowerCore 13000mAh Portable Charger,Electronics,Phone
1437,Belkin Boost Charge Wireless Charging Stand + Speaker,Electronics,Phone
1438,Spigen Slim Armor CS Case for iPhone SE (2nd generation),Electronics,Phone
1439,OtterBox Symmetry Series Case for iPhone SE (2nd generation),Electronics,Phone
1440,Google Fabric Case for Pixel 3,Electronics,Phone
1441,Mophie Powerstation AC Portable Charger,Electronics,Phone
1442,Incipio DualPro Case for Samsung Galaxy S21,Electronics,Phone
1443,Samsung Galaxy S21+ Silicone Cover,Electronics,Phone
1444,Apple Smart Battery Case with MagSafe for iPhone 12 and iPhone 12 Pro,Electronics,Phone
1445,Anker PowerCore Essential 10000mAh Portable Charger,Electronics,Phone
1446,Belkin Boost Charge 15W Wireless Charging Stand,Electronics,Phone
1447,Spigen Ultra Hybrid S Case for iPhone 12 Mini,Electronics,Phone
1448,OtterBox Defender Series Case for iPhone 11 Pro Max,Electronics,Phone
1449,Google Pixel 2 Fabric Case,Electronics,Phone
1450,Mophie Juice Pack for Samsung Galaxy Note 20 Ultra,Electronics,Phone
1451,Incipio Grip Case for Samsung Galaxy S21+,Electronics,Phone
1452,Samsung Galaxy S20 Ultra Leather Back Cover,Electronics,Phone
1453,Apple Leather Sleeve with MagSafe for iPhone 12 Pro Max,Electronics,Phone
1454,Anker PowerCore 20100mAh Portable Charger,Electronics,Phone
1455,Belkin Boost Charge Wireless Charging Pad 10W,Electronics,Phone
1456,Spigen Tough Armor Case for iPhone 12 Pro Max,Electronics,Phone
1457,OtterBox Symmetry Series Case for iPhone 12 Pro Max,Electronics,Phone
1458,Google Pixel 5 Case,Electronics,Phone
1459,Mophie Powerstation Go Rugged with Air Compressor,Electronics,Phone
1460,Incipio DualPro Case for Samsung Galaxy S21 Ultra,Electronics,Phone
1461,Samsung Galaxy S21 Ultra Silicone Cover,Electronics,Phone
1462,Apple Leather Case with MagSafe for iPhone 12 Mini,Electronics,Phone
1463,Anker PowerCore 10000mAh Wireless Portable Charger,Electronics,Phone
1464,Belkin Boost Up Charge 4-Port USB-A Wall Charger,Electronics,Phone
1465,Spigen Tough Armor Case for iPhone 12 Mini,Electronics,Phone
1466,OtterBox Defender Series Case for iPhone XR,Electronics,Phone
1467,Google Pixel 2 XL Fabric Case,Electronics,Phone
1468,Mophie Juice Pack for Samsung Galaxy S21+,Electronics,Phone
1469,Incipio Grip Case for Samsung Galaxy S21 Ultra,Electronics,Phone
1470,Samsung Galaxy S20 Ultra LED Back Cover,Electronics,Phone
1471,Apple Clear Case with MagSafe for iPhone 12 and iPhone 12 Pro,Electronics,Phone
1472,Canon EOS Rebel T7,Electronics,Camera
1473,Sony Alpha a6000,Electronics,Camera
1474,Nikon D3500,Electronics,Camera
1475,Fujifilm X-T30,Electronics,Camera
1476,Panasonic Lumix G7,Electronics,Camera
1477,Olympus OM-D E-M10 Mark III,Electronics,Camera
1478,Canon EOS M50 Mark II,Electronics,Camera
1479,Sony Cyber-shot DSC-HX400V,Electronics,Camera
1480,Nikon D5600,Electronics,Camera
1481,Fujifilm X-T3,Electronics,Camera
1482,Panasonic Lumix GH5,Electronics,Camera
1483,Olympus PEN E-PL9,Electronics,Camera
1484,Canon PowerShot G7 X Mark III,Electronics,Camera
1485,Sony Alpha a7 III,Electronics,Camera
1486,Nikon Z6,Electronics,Camera
1487,Fujifilm X-T4,Electronics,Camera
1488,Panasonic Lumix G85,Electronics,Camera
1489,Olympus OM-D E-M1 Mark III,Electronics,Camera
