,city,state_id,state_name,state_name_id
46,Memphis,TN,Tennessee,Memphis TN
47,Raleigh,NC,North Carolina,Raleigh NC
48,New Orleans,LA,Louisiana,New Orleans LA
49,Louisville,KY,Kentucky,Louisville KY
50,Oklahoma City,OK,Oklahoma,Oklahoma City OK
51,Bridgeport,CT,Connecticut,Bridgeport CT
52,Buffalo,NY,New York,Buffalo NY
53,Fort Worth,TX,Texas,Fort Worth TX
54,Hartford,CT,Connecticut,Hartford CT
55,Tucson,AZ,Arizona,Tucson AZ
56,Omaha,NE,Nebraska,Omaha NE
57,El Paso,TX,Texas,El Paso TX
58,Honolulu,HI,Hawaii,Honolulu HI
59,McAllen,TX,Texas,McAllen TX
60,Albuquerque,NM,New Mexico,Albuquerque NM
61,Birmingham,AL,Alabama,Birmingham AL
62,Sarasota,FL,Florida,Sarasota FL
63,Dayton,OH,Ohio,Dayton OH
64,Rochester,NY,New York,Rochester NY
65,Fresno,CA,California,Fresno CA
66,Allentown,PA,Pennsylvania,Allentown PA
67,Tulsa,OK,Oklahoma,Tulsa OK
68,Cape Coral,FL,Florida,Cape Coral FL
69,Concord,CA,California,Concord CA
70,Colorado Springs,CO,Colorado,Colorado Springs CO
71,Charleston,SC,South Carolina,Charleston SC
72,Springfield,MA,Massachusetts,Springfield MA
73,Grand Rapids,MI,Michigan,Grand Rapids MI
74,Mission Viejo,CA,California,Mission Viejo CA
75,Albany,NY,New York,Albany NY
76,Knoxville,TN,Tennessee,Knoxville TN
77,Bakersfield,CA,California,Bakersfield CA
78,Ogden,UT,Utah,Ogden UT
79,Baton Rouge,LA,Louisiana,Baton Rouge LA
80,Akron,OH,Ohio,Akron OH
81,New Haven,CT,Connecticut,New Haven CT
82,Columbia,SC,South Carolina,Columbia SC
83,Mesa,AZ,Arizona,Mesa AZ
84,Palm Bay,FL,Florida,Palm Bay FL
85,Provo,UT,Utah,Provo UT
86,Worcester,MA,Massachusetts,Worcester MA
87,Murrieta,CA,California,Murrieta CA
88,Greenville,SC,South Carolina,Greenville SC
89,Wichita,KS,Kansas,Wichita KS
90,Toledo,OH,Ohio,Toledo OH
91,Staten Island,NY,New York,Staten Island NY
92,Des Moines,IA,Iowa,Des Moines IA
93,Long Beach,CA,California,Long Beach CA
94,Port St. Lucie,FL,Florida,Port St. Lucie FL
95,Denton,TX,Texas,Denton TX
96,Madison,WI,Wisconsin,Madison WI
97,Reno,NV,Nevada,Reno NV
98,Harrisburg,PA,Pennsylvania,Harrisburg PA
99,Little Rock,AR,Arkansas,Little Rock AR
100,Oakland,CA,California,Oakland CA
101,Durham,NC,North Carolina,Durham NC
102,Winston-Salem,NC,North Carolina,Winston-Salem NC
103,Bonita Springs,FL,Florida,Bonita Springs FL
104,Indio,CA,California,Indio CA
105,Palm Coast,FL,Florida,Palm Coast FL
106,Chattanooga,TN,Tennessee,Chattanooga TN
107,Spokane,WA,Washington,Spokane WA
108,Syracuse,NY,New York,Syracuse NY
109,Lancaster,PA,Pennsylvania,Lancaster PA
110,Arlington,TX,Texas,Arlington TX
111,Stockton,CA,California,Stockton CA
112,Poughkeepsie,NY,New York,Poughkeepsie NY
113,Augusta,GA,Georgia,Augusta GA
114,Boise,ID,Idaho,Boise ID
115,Oxnard,CA,California,Oxnard CA
116,Scranton,PA,Pennsylvania,Scranton PA
117,Modesto,CA,California,Modesto CA
118,Kissimmee,FL,Florida,Kissimmee FL
119,Aurora,CO,Colorado,Aurora CO
120,Youngstown,OH,Ohio,Youngstown OH
121,Fayetteville,AR,Arkansas,Fayetteville AR
122,Anaheim,CA,California,Anaheim CA
123,Pensacola,FL,Florida,Pensacola FL
124,Victorville,CA,California,Victorville CA
125,Lancaster,CA,California,Lancaster CA
126,Greensboro,NC,North Carolina,Greensboro NC
127,Corpus Christi,TX,Texas,Corpus Christi TX
128,Fort Wayne,IN,Indiana,Fort Wayne IN
129,Santa Ana,CA,California,Santa Ana CA
130,Flint,MI,Michigan,Flint MI
131,Fayetteville,NC,North Carolina,Fayetteville NC
132,Jackson,MS,Mississippi,Jackson MS
133,Santa Rosa,CA,California,Santa Rosa CA
134,Lansing,MI,Michigan,Lansing MI
135,San Juan,PR,Puerto Rico,San Juan PR
136,Lexington,KY,Kentucky,Lexington KY
137,Ann Arbor,MI,Michigan,Ann Arbor MI
138,Henderson,NV,Nevada,Henderson NV
139,Huntsville,AL,Alabama,Huntsville AL
140,Mobile,AL,Alabama,Mobile AL
141,Fort Collins,CO,Colorado,Fort Collins CO
142,Asheville,NC,North Carolina,Asheville NC
143,Santa Clarita,CA,California,Santa Clarita CA
144,St. Paul,MN,Minnesota,St. Paul MN
145,Antioch,CA,California,Antioch CA
146,Lakeland,FL,Florida,Lakeland FL
147,Trenton,NJ,New Jersey,Trenton NJ
148,Lincoln,NE,Nebraska,Lincoln NE
149,Springfield,MO,Missouri,Springfield MO
150,Anchorage,AK,Alaska,Anchorage AK
151,Plano,TX,Texas,Plano TX
152,Irvine,CA,California,Irvine CA
153,Davenport,IA,Iowa,Davenport IA
154,Rockford,IL,Illinois,Rockford IL
155,Newark,NJ,New Jersey,Newark NJ
156,South Bend,IN,Indiana,South Bend IN
157,Shreveport,LA,Louisiana,Shreveport LA
158,Round Lake Beach,IL,Illinois,Round Lake Beach IL
159,Savannah,GA,Georgia,Savannah GA
160,Myrtle Beach,SC,South Carolina,Myrtle Beach SC
161,Chula Vista,CA,California,Chula Vista CA
162,Eugene,OR,Oregon,Eugene OR
163,Canton,OH,Ohio,Canton OH
164,Lubbock,TX,Texas,Lubbock TX
165,Reading,PA,Pennsylvania,Reading PA
166,Winter Haven,FL,Florida,Winter Haven FL
167,Salem,OR,Oregon,Salem OR
168,St. Petersburg,FL,Florida,St. Petersburg FL
169,Lafayette,LA,Louisiana,Lafayette LA
170,Laredo,TX,Texas,Laredo TX
171,Jersey City,NJ,New Jersey,Jersey City NJ
172,Concord,NC,North Carolina,Concord NC
173,Columbus,GA,Georgia,Columbus GA
174,Chandler,AZ,Arizona,Chandler AZ
175,McKinney,TX,Texas,McKinney TX
176,Scottsdale,AZ,Arizona,Scottsdale AZ
177,Killeen,TX,Texas,Killeen TX
178,Tallahassee,FL,Florida,Tallahassee FL
179,Peoria,IL,Illinois,Peoria IL
180,Wilmington,NC,North Carolina,Wilmington NC
181,Montgomery,AL,Alabama,Montgomery AL
182,Gilbert,AZ,Arizona,Gilbert AZ
183,Glendale,AZ,Arizona,Glendale AZ
184,North Las Vegas,NV,Nevada,North Las Vegas NV
185,Chesapeake,VA,Virginia,Chesapeake VA
186,Barnstable,MA,Massachusetts,Barnstable MA
187,Norfolk,VA,Virginia,Norfolk VA
188,Fremont,CA,California,Fremont CA
189,Kennewick,WA,Washington,Kennewick WA
190,Garland,TX,Texas,Garland TX
191,Irving,TX,Texas,Irving TX
192,Visalia,CA,California,Visalia CA
193,Atlantic City,NJ,New Jersey,Atlantic City NJ
194,Paradise,NV,Nevada,Paradise NV
195,Nashua,NH,New Hampshire,Nashua NH
196,Arlington,VA,Virginia,Arlington VA
197,Hialeah,FL,Florida,Hialeah FL
198,York,PA,Pennsylvania,York PA
199,Evansville,IN,Indiana,Evansville IN
200,Avondale,AZ,Arizona,Avondale AZ
201,Brownsville,TX,Texas,Brownsville TX
202,Gulfport,MS,Mississippi,Gulfport MS
203,Appleton,WI,Wisconsin,Appleton WI
204,Bremerton,WA,Washington,Bremerton WA
205,Hickory,NC,North Carolina,Hickory NC
206,Tacoma,WA,Washington,Tacoma WA
207,San Bernardino,CA,California,San Bernardino CA
208,College Station,TX,Texas,College Station TX
209,Kalamazoo,MI,Michigan,Kalamazoo MI
210,Thousand Oaks,CA,California,Thousand Oaks CA
211,Roanoke,VA,Virginia,Roanoke VA
212,Fontana,CA,California,Fontana CA
213,Moreno Valley,CA,California,Moreno Valley CA
214,North Port,FL,Florida,North Port FL
215,Fargo,ND,North Dakota,Fargo ND
216,Green Bay,WI,Wisconsin,Green Bay WI
217,Spring Valley,NV,Nevada,Spring Valley NV
218,Amarillo,TX,Texas,Amarillo TX
219,Portland,ME,Maine,Portland ME
220,Santa Barbara,CA,California,Santa Barbara CA
221,Gainesville,FL,Florida,Gainesville FL
222,Olympia,WA,Washington,Olympia WA
223,Frisco,TX,Texas,Frisco TX
224,Yonkers,NY,New York,Yonkers NY
225,Norwich,CT,Connecticut,Norwich CT
226,Glendale,CA,California,Glendale CA
227,Huntington Beach,CA,California,Huntington Beach CA
228,Deltona,FL,Florida,Deltona FL
229,Aurora,IL,Illinois,Aurora IL
230,Tempe,AZ,Arizona,Tempe AZ
231,Overland Park,KS,Kansas,Overland Park KS
232,Grand Prairie,TX,Texas,Grand Prairie TX
233,Sunrise Manor,NV,Nevada,Sunrise Manor NV
234,Waco,TX,Texas,Waco TX
235,Salinas,CA,California,Salinas CA
236,Waterbury,CT,Connecticut,Waterbury CT
237,Clarksville,TN,Tennessee,Clarksville TN
238,Cedar Rapids,IA,Iowa,Cedar Rapids IA
239,Sioux Falls,SD,South Dakota,Sioux Falls SD
240,Huntington,WV,West Virginia,Huntington WV
241,Ontario,CA,California,Ontario CA
242,Hagerstown,MD,Maryland,Hagerstown MD
243,Erie,PA,Pennsylvania,Erie PA
244,Vancouver,WA,Washington,Vancouver WA
245,Nampa,ID,Idaho,Nampa ID
246,Spartanburg,SC,South Carolina,Spartanburg SC
247,Gastonia,NC,North Carolina,Gastonia NC
248,Fort Lauderdale,FL,Florida,Fort Lauderdale FL
249,Lorain,OH,Ohio,Lorain OH
250,Murfreesboro,TN,Tennessee,Murfreesboro TN
251,High Point,NC,North Carolina,High Point NC
252,Newport News,VA,Virginia,Newport News VA
253,Rancho Cucamonga,CA,California,Rancho Cucamonga CA
254,Hemet,CA,California,Hemet CA
255,Santa Cruz,CA,California,Santa Cruz CA
256,Danbury,CT,Connecticut,Danbury CT
257,Peoria,AZ,Arizona,Peoria AZ
258,Oceanside,CA,California,Oceanside CA
259,Elk Grove,CA,California,Elk Grove CA
260,Pembroke Pines,FL,Florida,Pembroke Pines FL
261,Vallejo,CA,California,Vallejo CA
262,Garden Grove,CA,California,Garden Grove CA
263,Enterprise,NV,Nevada,Enterprise NV
264,Medford,OR,Oregon,Medford OR
265,Cary,NC,North Carolina,Cary NC
266,Marysville,WA,Washington,Marysville WA
267,Corona,CA,California,Corona CA
268,Ocala,FL,Florida,Ocala FL
269,Fredericksburg,VA,Virginia,Fredericksburg VA
270,Gainesville,GA,Georgia,Gainesville GA
271,Manchester,NH,New Hampshire,Manchester NH
272,BayamÃ³n,PR,Puerto Rico,BayamÃ³n PR
273,Champaign,IL,Illinois,Champaign IL
274,Alexandria,VA,Virginia,Alexandria VA
275,Hayward,CA,California,Hayward CA
276,Springfield,IL,Illinois,Springfield IL
277,Lakewood,CO,Colorado,Lakewood CO
278,Lafayette,IN,Indiana,Lafayette IN
279,Frederick,MD,Maryland,Frederick MD
280,Lake Charles,LA,Louisiana,Lake Charles LA
281,Odessa,TX,Texas,Odessa TX
282,Tuscaloosa,AL,Alabama,Tuscaloosa AL
283,Warner Robins,GA,Georgia,Warner Robins GA
284,Palmdale,CA,California,Palmdale CA
285,Hollywood,FL,Florida,Hollywood FL
286,Midland,TX,Texas,Midland TX
287,Leesburg,FL,Florida,Leesburg FL
288,Port Arthur,TX,Texas,Port Arthur TX
289,Muskegon,MI,Michigan,Muskegon MI
290,Macon,GA,Georgia,Macon GA
291,Kansas City,KS,Kansas,Kansas City KS
292,Sunnyvale,CA,California,Sunnyvale CA
293,Pomona,CA,California,Pomona CA
294,Escondido,CA,California,Escondido CA
295,Pasadena,TX,Texas,Pasadena TX
296,New Bedford,MA,Massachusetts,New Bedford MA
297,Fairfield,CA,California,Fairfield CA
298,Naperville,IL,Illinois,Naperville IL
299,Bellevue,WA,Washington,Bellevue WA
300,Binghamton,NY,New York,Binghamton NY
301,Elkhart,IN,Indiana,Elkhart IN
302,Topeka,KS,Kansas,Topeka KS
303,Joliet,IL,Illinois,Joliet IL
304,Beaumont,TX,Texas,Beaumont TX
305,Paterson,NJ,New Jersey,Paterson NJ
306,Merced,CA,California,Merced CA
307,Pueblo,CO,Colorado,Pueblo CO
308,Tyler,TX,Texas,Tyler TX
309,Torrance,CA,California,Torrance CA
310,Yuma,AZ,Arizona,Yuma AZ
311,Metairie,LA,Louisiana,Metairie LA
312,Surprise,AZ,Arizona,Surprise AZ
313,Columbia,MO,Missouri,Columbia MO
314,Athens,GA,Georgia,Athens GA
315,Roseville,CA,California,Roseville CA
316,Thornton,CO,Colorado,Thornton CO
317,Miramar,FL,Florida,Miramar FL
318,Pasadena,CA,California,Pasadena CA
319,Mesquite,TX,Texas,Mesquite TX
320,Olathe,KS,Kansas,Olathe KS
321,Santa Maria,CA,California,Santa Maria CA
322,Houma,LA,Louisiana,Houma LA
323,Carrollton,TX,Texas,Carrollton TX
324,Grand Junction,CO,Colorado,Grand Junction CO
325,Charleston,WV,West Virginia,Charleston WV
326,Orange,CA,California,Orange CA
327,Fullerton,CA,California,Fullerton CA
328,Greeley,CO,Colorado,Greeley CO
329,Carolina,PR,Puerto Rico,Carolina PR
330,Las Cruces,NM,New Mexico,Las Cruces NM
331,Panama City,FL,Florida,Panama City FL
332,Harlingen,TX,Texas,Harlingen TX
333,West Valley City,UT,Utah,West Valley City UT
334,Hampton,VA,Virginia,Hampton VA
335,Warren,MI,Michigan,Warren MI
336,Mauldin,SC,South Carolina,Mauldin SC
337,Bloomington,IL,Illinois,Bloomington IL
338,Coral Springs,FL,Florida,Coral Springs FL
339,Round Rock,TX,Texas,Round Rock TX
340,Yakima,WA,Washington,Yakima WA
341,Sterling Heights,MI,Michigan,Sterling Heights MI
342,Kent,WA,Washington,Kent WA
343,Burlington,NC,North Carolina,Burlington NC
344,Bellingham,WA,Washington,Bellingham WA
345,Santa Clara,CA,California,Santa Clara CA
346,Racine,WI,Wisconsin,Racine WI
347,Greenville,NC,North Carolina,Greenville NC
348,Stamford,CT,Connecticut,Stamford CT
349,Elizabeth,NJ,New Jersey,Elizabeth NJ
350,Johnson City,TN,Tennessee,Johnson City TN
351,Lynchburg,VA,Virginia,Lynchburg VA
352,Simi Valley,CA,California,Simi Valley CA
353,Fort Smith,AR,Arkansas,Fort Smith AR
354,Kenosha,WI,Wisconsin,Kenosha WI
355,Norman,OK,Oklahoma,Norman OK
356,South Lyon,MI,Michigan,South Lyon MI
357,Boulder,CO,Colorado,Boulder CO
358,Abilene,TX,Texas,Abilene TX
359,Lehigh Acres,FL,Florida,Lehigh Acres FL
360,Pearland,TX,Texas,Pearland TX
361,Berkeley,CA,California,Berkeley CA
362,Richardson,TX,Texas,Richardson TX
363,Redding,CA,California,Redding CA
364,Arvada,CO,Colorado,Arvada CO
365,East Los Angeles,CA,California,East Los Angeles CA
366,St. George,UT,Utah,St. George UT
367,Billings,MT,Montana,Billings MT
368,Yuba City,CA,California,Yuba City CA
369,Rochester,MN,Minnesota,Rochester MN
370,Leominster,MA,Massachusetts,Leominster MA
371,Kingsport,TN,Tennessee,Kingsport TN
372,Duluth,MN,Minnesota,Duluth MN
373,Rock Hill,SC,South Carolina,Rock Hill SC
374,Gilroy,CA,California,Gilroy CA
375,Cambridge,MA,Massachusetts,Cambridge MA
376,Sugar Land,TX,Texas,Sugar Land TX
377,Texas City,TX,Texas,Texas City TX
378,Iowa City,IA,Iowa,Iowa City IA
379,Saginaw,MI,Michigan,Saginaw MI
380,Chico,CA,California,Chico CA
381,Dover,DE,Delaware,Dover DE
382,Clearwater,FL,Florida,Clearwater FL
383,Coeur d'Alene,ID,Idaho,Coeur d'Alene ID
384,Seaside,CA,California,Seaside CA
385,Independence,MO,Missouri,Independence MO
386,West Jordan,UT,Utah,West Jordan UT
387,Brandon,FL,Florida,Brandon FL
388,Bloomington,IN,Indiana,Bloomington IN
389,El Monte,CA,California,El Monte CA
390,North Charleston,SC,South Carolina,North Charleston SC
391,Carlsbad,CA,California,Carlsbad CA
392,St. Cloud,MN,Minnesota,St. Cloud MN
393,Temecula,CA,California,Temecula CA
394,Clovis,CA,California,Clovis CA
395,Meridian,ID,Idaho,Meridian ID
396,The Woodlands,TX,Texas,The Woodlands TX
397,Ponce,PR,Puerto Rico,Ponce PR
398,Westminster,CO,Colorado,Westminster CO
399,Costa Mesa,CA,California,Costa Mesa CA
400,Monroe,LA,Louisiana,Monroe LA
401,Utica,NY,New York,Utica NY
402,Pompano Beach,FL,Florida,Pompano Beach FL
403,West Palm Beach,FL,Florida,West Palm Beach FL
404,Waterloo,IA,Iowa,Waterloo IA
405,Everett,WA,Washington,Everett WA
406,El Centro,CA,California,El Centro CA
407,Santa Fe,NM,New Mexico,Santa Fe NM
408,Downey,CA,California,Downey CA
409,Spring Hill,FL,Florida,Spring Hill FL
410,Lowell,MA,Massachusetts,Lowell MA
411,Centennial,CO,Colorado,Centennial CO
412,Elgin,IL,Illinois,Elgin IL
413,Richmond,CA,California,Richmond CA
414,Broken Arrow,OK,Oklahoma,Broken Arrow OK
415,Miami Gardens,FL,Florida,Miami Gardens FL
416,Bend,OR,Oregon,Bend OR
417,Burlington,VT,Vermont,Burlington VT
418,Jurupa Valley,CA,California,Jurupa Valley CA
419,Sandy Springs,GA,Georgia,Sandy Springs GA
420,Gresham,OR,Oregon,Gresham OR
421,Lewisville,TX,Texas,Lewisville TX
422,Hillsboro,OR,Oregon,Hillsboro OR
423,San Buenaventura,CA,California,San Buenaventura CA
424,Jacksonville,NC,North Carolina,Jacksonville NC
425,Pottstown,PA,Pennsylvania,Pottstown PA
426,Inglewood,CA,California,Inglewood CA
427,League City,TX,Texas,League City TX
428,Eau Claire,WI,Wisconsin,Eau Claire WI
429,Turlock,CA,California,Turlock CA
430,Temple,TX,Texas,Temple TX
431,Sioux City,IA,Iowa,Sioux City IA
432,Salisbury,MD,Maryland,Salisbury MD
433,Davie,FL,Florida,Davie FL
434,Daly City,CA,California,Daly City CA
435,Highlands Ranch,CO,Colorado,Highlands Ranch CO
436,Allen,TX,Texas,Allen TX
437,West Covina,CA,California,West Covina CA
438,Sparks,NV,Nevada,Sparks NV
439,Wichita Falls,TX,Texas,Wichita Falls TX
440,San Mateo,CA,California,San Mateo CA
441,Columbia,MD,Maryland,Columbia MD
442,Norwalk,CA,California,Norwalk CA
443,Rialto,CA,California,Rialto CA
444,Manteca,CA,California,Manteca CA
445,Arden-Arcade,CA,California,Arden-Arcade CA
446,El Cajon,CA,California,El Cajon CA
447,Burbank,CA,California,Burbank CA
448,Longmont,CO,Colorado,Longmont CO
449,Renton,WA,Washington,Renton WA
450,Vista,CA,California,Vista CA
451,Logan,UT,Utah,Logan UT
452,Prescott Valley,AZ,Arizona,Prescott Valley AZ
453,Vacaville,CA,California,Vacaville CA
454,Edinburg,TX,Texas,Edinburg TX
455,Carmel,IN,Indiana,Carmel IN
456,Spokane Valley,WA,Washington,Spokane Valley WA
457,San Angelo,TX,Texas,San Angelo TX
458,La Crosse,WI,Wisconsin,La Crosse WI
459,Idaho Falls,ID,Idaho,Idaho Falls ID
460,Holland,MI,Michigan,Holland MI
461,Charlottesville,VA,Virginia,Charlottesville VA
462,Longview,TX,Texas,Longview TX
463,Tracy,CA,California,Tracy CA
464,Boca Raton,FL,Florida,Boca Raton FL
465,Lafayette,CO,Colorado,Lafayette CO
466,Lee's Summit,MO,Missouri,Lee's Summit MO
467,Rio Rancho,NM,New Mexico,Rio Rancho NM
468,South Fulton,GA,Georgia,South Fulton GA
469,Beaverton,OR,Oregon,Beaverton OR
470,Lawrence,KS,Kansas,Lawrence KS
471,Bismarck,ND,North Dakota,Bismarck ND
472,Orem,UT,Utah,Orem UT
473,Middletown,OH,Ohio,Middletown OH
474,San Tan Valley,AZ,Arizona,San Tan Valley AZ
475,San Marcos,CA,California,San Marcos CA
476,Sandy,UT,Utah,Sandy UT
477,Federal Way,WA,Washington,Federal Way WA
478,Mandeville,LA,Louisiana,Mandeville LA
479,Hesperia,CA,California,Hesperia CA
480,Brockton,MA,Massachusetts,Brockton MA
481,Compton,CA,California,Compton CA
482,Riverview,FL,Florida,Riverview FL
483,Fishers,IN,Indiana,Fishers IN
484,Sunrise,FL,Florida,Sunrise FL
485,Bowling Green,KY,Kentucky,Bowling Green KY
486,Roswell,GA,Georgia,Roswell GA
487,Menifee,CA,California,Menifee CA
488,Plantation,FL,Florida,Plantation FL
489,Dover,NH,New Hampshire,Dover NH
490,Quincy,MA,Massachusetts,Quincy MA
491,Portsmouth,VA,Virginia,Portsmouth VA
492,Chino,CA,California,Chino CA
493,Lynn,MA,Massachusetts,Lynn MA
494,Edmond,OK,Oklahoma,Edmond OK
495,Hanford,CA,California,Hanford CA
496,Dearborn,MI,Michigan,Dearborn MI
497,Livonia,MI,Michigan,Livonia MI
498,South Gate,CA,California,South Gate CA
499,Vineland,NJ,New Jersey,Vineland NJ
500,Florence,SC,South Carolina,Florence SC
501,Portsmouth,NH,New Hampshire,Portsmouth NH
502,Slidell,LA,Louisiana,Slidell LA
503,Lawton,OK,Oklahoma,Lawton OK
504,Kirkland,WA,Washington,Kirkland WA
505,Missoula,MT,Montana,Missoula MT
506,Auburn,AL,Alabama,Auburn AL
507,Rapid City,SD,South Dakota,Rapid City SD
508,Terre Haute,IN,Indiana,Terre Haute IN
509,Suffolk,VA,Virginia,Suffolk VA
510,Blacksburg,VA,Virginia,Blacksburg VA
511,Mount Pleasant,SC,South Carolina,Mount Pleasant SC
512,Carson,CA,California,Carson CA
513,Conroe,TX,Texas,Conroe TX
514,Alafaya,FL,Florida,Alafaya FL
515,Livermore,CA,California,Livermore CA
516,Westminster,CA,California,Westminster CA
517,Germantown,MD,Maryland,Germantown MD
518,Santa Monica,CA,California,Santa Monica CA
519,New Braunfels,TX,Texas,New Braunfels TX
520,Fall River,MA,Massachusetts,Fall River MA
521,Albany,GA,Georgia,Albany GA
522,Miami Beach,FL,Florida,Miami Beach FL
523,Norwalk,CT,Connecticut,Norwalk CT
524,San Leandro,CA,California,San Leandro CA
525,O'Fallon,MO,Missouri,O'Fallon MO
526,Newton,MA,Massachusetts,Newton MA
527,Muncie,IN,Indiana,Muncie IN
528,Citrus Heights,CA,California,Citrus Heights CA
529,State College,PA,Pennsylvania,State College PA
530,Town 'n' Country,FL,Florida,Town 'n' Country FL
531,Decatur,IL,Illinois,Decatur IL
532,Jackson,MI,Michigan,Jackson MI
533,Fort Myers,FL,Florida,Fort Myers FL
534,Goodyear,AZ,Arizona,Goodyear AZ
535,Dalton,GA,Georgia,Dalton GA
536,Bryan,TX,Texas,Bryan TX
537,Waukegan,IL,Illinois,Waukegan IL
538,Hawthorne,CA,California,Hawthorne CA
539,Anderson,IN,Indiana,Anderson IN
540,Redwood City,CA,California,Redwood City CA
541,Hoover,AL,Alabama,Hoover AL
542,Lake Forest,CA,California,Lake Forest CA
543,Napa,CA,California,Napa CA
544,Whittier,CA,California,Whittier CA
545,Clifton,NJ,New Jersey,Clifton NJ
546,Largo,FL,Florida,Largo FL
547,Bloomington,MN,Minnesota,Bloomington MN
548,Johns Creek,GA,Georgia,Johns Creek GA
549,Newport Beach,CA,California,Newport Beach CA
550,Mission,TX,Texas,Mission TX
551,Milpitas,CA,California,Milpitas CA
552,Troy,MI,Michigan,Troy MI
553,Madera,CA,California,Madera CA
554,Joplin,MO,Missouri,Joplin MO
555,Chino Hills,CA,California,Chino Hills CA
556,Alhambra,CA,California,Alhambra CA
557,Franklin,TN,Tennessee,Franklin TN
558,Melbourne,FL,Florida,Melbourne FL
559,Port Huron,MI,Michigan,Port Huron MI
560,Springfield,OH,Ohio,Springfield OH
561,Mountain View,CA,California,Mountain View CA
562,Zephyrhills,FL,Florida,Zephyrhills FL
563,St. Augustine,FL,Florida,St. Augustine FL
564,Flagstaff,AZ,Arizona,Flagstaff AZ
565,Buena Park,CA,California,Buena Park CA
566,Pleasanton,CA,California,Pleasanton CA
567,Silver Spring,MD,Maryland,Silver Spring MD
568,Atascocita,TX,Texas,Atascocita TX
569,Westland,MI,Michigan,Westland MI
570,Auburn,WA,Washington,Auburn WA
571,Cranston,RI,Rhode Island,Cranston RI
572,Somerville,MA,Massachusetts,Somerville MA
573,Folsom,CA,California,Folsom CA
574,Springdale,AR,Arkansas,Springdale AR
575,Deerfield Beach,FL,Florida,Deerfield Beach FL
576,Warwick,RI,Rhode Island,Warwick RI
577,Cicero,IL,Illinois,Cicero IL
578,Farmington Hills,MI,Michigan,Farmington Hills MI
579,Newark,OH,Ohio,Newark OH
580,Williamsburg,VA,Virginia,Williamsburg VA
581,Brooklyn Park,MN,Minnesota,Brooklyn Park MN
582,Hattiesburg,MS,Mississippi,Hattiesburg MS
583,Alexandria,LA,Louisiana,Alexandria LA
584,Lawrence,MA,Massachusetts,Lawrence MA
585,Florence,AL,Alabama,Florence AL
586,Valdosta,GA,Georgia,Valdosta GA
587,Plymouth,MN,Minnesota,Plymouth MN
588,Buckeye,AZ,Arizona,Buckeye AZ
589,Georgetown,TX,Texas,Georgetown TX
590,Cheyenne,WY,Wyoming,Cheyenne WY
591,Cedar Park,TX,Texas,Cedar Park TX
592,The Villages,FL,Florida,The Villages FL
593,Kokomo,IN,Indiana,Kokomo IN
594,Tustin,CA,California,Tustin CA
595,Lakewood,CA,California,Lakewood CA
596,Perris,CA,California,Perris CA
597,St. Joseph,MO,Missouri,St. Joseph MO
598,Flower Mound,TX,Texas,Flower Mound TX
599,Pharr,TX,Texas,Pharr TX
600,Pine Hills,FL,Florida,Pine Hills FL
601,Alton,IL,Illinois,Alton IL
602,Loveland,CO,Colorado,Loveland CO
603,Boynton Beach,FL,Florida,Boynton Beach FL
